timestamp,epoch,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
17.812783002853394,0,24.0,645.0,67.62
34.26092886924744,0,24.0,645.0,67.62
51.23391675949097,0,22.0,645.0,66.74
67.23035287857056,0,10.0,645.0,67.03
93.35365462303162,1,26.0,645.0,67.23
110.2051739692688,1,25.0,645.0,66.64
126.71326971054077,1,26.0,645.0,67.13
142.9167926311493,1,9.0,645.0,66.54
168.15977025032043,2,16.0,645.0,66.94
184.9040720462799,2,24.0,645.0,66.44
201.87919735908508,2,19.0,645.0,66.34
218.12549257278442,2,12.0,645.0,67.33
243.56143522262573,3,25.0,645.0,65.44
260.3908727169037,3,20.0,645.0,65.54
276.73371934890747,3,27.0,645.0,65.15
293.52926564216614,3,8.0,645.0,65.54
318.85554552078247,4,24.0,645.0,65.44
335.6417944431305,4,20.0,645.0,65.15
352.577716588974,4,20.0,645.0,65.95
369.3710865974426,4,12.0,645.0,65.74
394.89768981933594,5,19.0,645.0,65.76
411.16800022125244,5,19.0,645.0,65.25
427.4931802749634,5,21.0,645.0,65.15
443.95900416374207,5,7.0,645.0,65.25
469.25175619125366,6,17.0,645.0,64.86
486.1707212924957,6,23.0,645.0,65.15
503.10349321365356,6,26.0,645.0,65.15
519.3859293460846,6,12.0,645.0,64.86
545.599771976471,7,17.0,645.0,64.95
561.8001716136932,7,24.0,645.0,65.15
578.7850203514099,7,23.0,645.0,65.34
595.0572128295898,7,8.0,645.0,64.86
620.5836796760559,8,25.0,645.0,65.25
637.4612174034119,8,24.0,645.0,65.95
653.7630331516266,8,27.0,645.0,65.44
670.6987490653992,8,11.0,645.0,64.95
696.0381228923798,9,16.0,645.0,65.95
712.9626469612122,9,23.0,645.0,65.24
729.8649702072144,9,25.0,645.0,64.86
746.7808609008789,9,12.0,645.0,65.15
772.078049659729,10,26.0,645.0,66.73
788.9632308483124,10,24.0,645.0,65.76
805.9887952804565,10,25.0,645.0,64.95
822.1350340843201,10,14.0,645.0,64.95
848.2823510169983,11,17.0,645.0,65.65
865.033730506897,11,26.0,645.0,65.05
881.3583333492279,11,22.0,645.0,65.15
898.2521941661835,11,13.0,645.0,65.05
923.7268645763397,12,23.0,645.0,65.25
940.5941650867462,12,24.0,645.0,65.65
957.5790257453918,12,22.0,645.0,66.05
973.8764972686768,12,10.0,645.0,65.34
