timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power,epoch
2.7497828006744385,37.0,665.0,71.09,0.0
5.210451126098633,45.0,665.0,100.22,0.0
7.596022605895996,44.0,665.0,81.43,0.0
9.86433744430542,50.0,665.0,70.13,0.0
10.245915174484253,24.0,665.0,69.66,
10.608171224594116,22.0,665.0,75.47,
10.970205545425415,17.0,665.0,69.56,
11.296594858169556,23.0,665.0,70.35,
13.859227895736694,44.0,667.0,70.45,1.0
16.377927541732788,30.0,667.0,70.15,1.0
18.899935007095337,44.0,667.0,69.85,1.0
21.408427476882935,30.0,667.0,70.05,1.0
21.795220613479614,14.0,667.0,70.15,
22.170255661010742,20.0,667.0,81.25,
22.499296188354492,27.0,667.0,69.95,
22.856677055358887,22.0,667.0,72.69,
25.26447820663452,41.0,667.0,74.09,2.0
27.71548318862915,43.0,667.0,70.35,2.0
30.258923292160034,33.0,667.0,70.24,2.0
32.67477512359619,33.0,667.0,70.45,2.0
33.06590461730957,17.0,667.0,69.86,
33.42916560173035,19.0,667.0,87.41,
33.77746081352234,24.0,667.0,69.96,
34.14293622970581,23.0,667.0,90.07,
36.68044567108154,30.0,667.0,70.14,3.0
39.229095458984375,44.0,667.0,73.59,3.0
41.76544189453125,44.0,667.0,94.58,3.0
44.29993176460266,27.0,667.0,71.05,3.0
44.679526567459106,20.0,667.0,84.01,
45.05156850814819,23.0,667.0,71.24,
45.413037061691284,24.0,667.0,70.15,
45.7742760181427,22.0,667.0,74.77,
48.33577346801758,30.0,667.0,70.36,4.0
50.86410570144653,44.0,667.0,70.76,4.0
53.38714361190796,37.0,667.0,71.81,4.0
55.89654016494751,44.0,667.0,71.61,4.0
56.25972080230713,25.0,667.0,69.76,
56.608229637145996,22.0,667.0,71.61,
56.95633554458618,15.0,667.0,70.64,
57.30966234207153,22.0,667.0,70.85,
59.76462912559509,27.0,667.0,98.8,5.0
62.16774344444275,46.0,667.0,97.22,5.0
64.5310230255127,47.0,667.0,70.94,5.0
66.88908910751343,47.0,667.0,97.31,5.0
67.26630592346191,22.0,667.0,73.59,
67.6251950263977,18.0,667.0,69.86,
67.98454213142395,19.0,667.0,82.32,
68.34266138076782,23.0,667.0,69.75,
70.88346934318542,41.0,667.0,76.52,6.0
73.38908982276917,46.0,667.0,74.08,6.0
75.89074492454529,38.0,667.0,71.81,6.0
78.23176383972168,48.0,667.0,90.57,6.0
78.60082244873047,24.0,667.0,70.44,
78.91469144821167,26.0,667.0,72.69,
79.27306890487671,17.0,667.0,70.05,
79.58573889732361,24.0,667.0,69.96,
82.063485622406,27.0,667.0,99.38,7.0
84.46213722229004,46.0,667.0,89.47,7.0
86.85946154594421,47.0,667.0,77.12,7.0
89.24905228614807,46.0,667.0,71.24,7.0
89.60191011428833,26.0,667.0,90.34,
89.91799211502075,19.0,667.0,70.05,
90.23260617256165,24.0,667.0,70.05,
90.5805139541626,24.0,667.0,74.18,
92.99130463600159,45.0,667.0,79.09,8.0
95.36945271492004,37.0,667.0,70.83,8.0
97.75666332244873,33.0,667.0,70.86,8.0
100.13519072532654,46.0,667.0,93.02,8.0
100.50950741767883,22.0,667.0,71.61,
100.82898664474487,27.0,667.0,77.7,
101.1978132724762,19.0,667.0,70.64,
101.52012085914612,19.0,667.0,72.21,
103.94445371627808,47.0,667.0,82.33,9.0
106.31951069831848,46.0,667.0,71.05,9.0
108.74820470809937,45.0,667.0,72.99,9.0
111.1563630104065,45.0,667.0,72.79,9.0
111.51886558532715,24.0,667.0,69.85,
111.87173175811768,24.0,667.0,73.69,
112.20041370391846,15.0,667.0,90.16,
112.54525899887085,22.0,667.0,69.95,
115.02910709381104,30.0,667.0,70.75,10.0
117.50467681884766,44.0,667.0,78.69,10.0
119.98521947860718,44.0,667.0,71.24,10.0
122.47755241394043,34.0,667.0,70.35,10.0
122.84745049476624,14.0,667.0,90.57,
123.20496606826782,22.0,667.0,70.44,
123.56656765937805,24.0,667.0,70.25,
123.93065571784973,23.0,667.0,72.4,
126.47370052337646,29.0,667.0,98.3,11.0
129.01888728141785,43.0,667.0,70.24,11.0
131.5230085849762,36.0,667.0,70.04,11.0
133.97772455215454,46.0,667.0,78.8,11.0
134.31377243995667,18.0,667.0,92.44,
134.66065120697021,20.0,667.0,70.83,
135.01902294158936,23.0,667.0,70.85,
135.36634850502014,23.0,667.0,70.85,
137.77190709114075,41.0,667.0,71.43,12.0
140.16553330421448,37.0,667.0,70.45,12.0
142.55631399154663,33.0,667.0,70.45,12.0
144.84019541740417,49.0,667.0,102.44,12.0
145.17073726654053,21.0,667.0,70.35,
145.4864251613617,22.0,667.0,70.45,
145.81825280189514,25.0,667.0,72.6,
146.1421458721161,16.0,667.0,81.44,
148.57879066467285,33.0,667.0,70.15,13.0
150.9866771697998,32.0,667.0,70.65,13.0
153.28174781799316,48.0,667.0,100.25,13.0
155.69709300994873,46.0,667.0,100.47,13.0
156.07130980491638,24.0,667.0,75.46,
156.41424369812012,17.0,667.0,88.68,
156.73368287086487,23.0,667.0,70.36,
157.06713438034058,25.0,667.0,72.11,
159.46658897399902,43.0,667.0,72.21,14.0
161.72736048698425,49.0,667.0,107.73,14.0
164.22545313835144,27.0,667.0,104.5,14.0
166.48357558250427,42.0,667.0,71.05,14.0
166.85267853736877,17.0,667.0,91.04,
167.2130343914032,20.0,667.0,72.99,
167.56577801704407,24.0,667.0,70.45,
167.91824507713318,24.0,667.0,72.5,
170.3268187046051,46.0,667.0,75.26,15.0
172.58451390266418,49.0,667.0,70.53,15.0
174.94748520851135,47.0,667.0,75.86,15.0
177.312242269516,36.0,667.0,70.84,15.0
177.6791126728058,15.0,667.0,86.25,
178.03379678726196,21.0,667.0,70.74,
178.38884663581848,24.0,667.0,93.55,
178.73133516311646,20.0,667.0,70.43,
181.028062582016,49.0,667.0,70.95,16.0
183.40159678459167,46.0,667.0,91.36,16.0
185.6737985610962,49.0,667.0,71.61,16.0
188.04684829711914,47.0,667.0,71.24,16.0
188.41058611869812,25.0,667.0,75.46,
188.76846408843994,20.0,667.0,70.65,
189.11279296875,17.0,667.0,75.36,
189.43451952934265,27.0,667.0,88.39,
191.79709696769714,43.0,667.0,71.03,17.0
194.0509536266327,49.0,667.0,105.17,17.0
196.51132225990295,45.0,667.0,70.54,17.0
198.7292718887329,50.0,667.0,71.54,17.0
199.07896661758423,26.0,667.0,94.75,
199.40110540390015,21.0,667.0,90.36,
199.70079159736633,24.0,667.0,70.64,
200.05072259902954,25.0,667.0,72.3,
202.4167411327362,37.0,667.0,70.75,18.0
204.77605175971985,46.0,667.0,77.7,18.0
207.03801441192627,40.0,667.0,71.53,18.0
209.4072334766388,28.0,667.0,87.44,18.0
209.77363991737366,21.0,667.0,70.83,
210.12243723869324,25.0,667.0,90.91,
210.48097467422485,23.0,667.0,71.14,
210.82561898231506,17.0,667.0,90.05,
213.13962244987488,48.0,667.0,99.83,19.0
215.55351185798645,45.0,667.0,100.76,19.0
217.84557437896729,29.0,667.0,88.15,19.0
220.2528600692749,27.0,667.0,82.33,19.0
