timestamp,epoch,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
20.676411628723145,0,14.0,635.0,64.46
40.66410446166992,0,26.0,635.0,64.96
60.31298565864563,0,25.0,635.0,64.27
79.86433863639832,0,12.0,635.0,64.37
109.5594253540039,1,26.0,635.0,65.05
129.4667763710022,1,23.0,635.0,64.76
148.68647861480713,1,27.0,635.0,65.15
167.98739886283875,1,12.0,635.0,66.54
197.84611010551453,2,25.0,635.0,65.15
217.7720296382904,2,27.0,635.0,65.55
237.00962281227112,2,25.0,635.0,65.74
256.81292629241943,2,12.0,635.0,65.25
286.65434169769287,3,27.0,635.0,65.45
306.6689987182617,3,19.0,635.0,65.95
325.8493745326996,3,24.0,635.0,65.95
344.8949875831604,3,13.0,635.0,64.86
374.6851327419281,4,20.0,635.0,65.34
394.6960310935974,4,26.0,635.0,64.86
413.9595420360565,4,26.0,635.0,64.86
433.9053874015808,4,12.0,635.0,65.34
463.79178619384766,5,27.0,635.0,64.66
483.66307759284973,5,26.0,635.0,65.05
502.89866495132446,5,23.0,635.0,65.15
522.6375184059143,5,12.0,635.0,64.66
552.4107141494751,6,23.0,635.0,65.05
571.8282725811005,6,27.0,635.0,65.54
591.0807282924652,6,24.0,635.0,64.86
610.2898855209351,6,5.0,635.0,65.76
640.0925300121307,7,25.0,635.0,65.34
659.9959561824799,7,25.0,635.0,65.65
679.8132286071777,7,17.0,635.0,64.66
698.8616659641266,7,5.0,635.0,65.05
728.7402985095978,8,23.0,635.0,64.56
748.6458525657654,8,21.0,635.0,64.86
768.5195410251617,8,22.0,635.0,65.25
787.5356764793396,8,12.0,635.0,65.44
817.3229260444641,9,12.0,635.0,64.95
837.1812539100647,9,23.0,635.0,65.25
856.9185514450073,9,16.0,635.0,65.65
876.5591266155243,9,12.0,635.0,64.86
906.8630864620209,10,22.0,635.0,65.15
926.0708265304565,10,27.0,635.0,64.95
945.4742712974548,10,18.0,635.0,65.15
964.5854303836823,10,9.0,635.0,65.65
995.0265398025513,11,22.0,635.0,64.95
1014.191730260849,11,23.0,635.0,65.86
1033.6424841880798,11,18.0,635.0,65.15
1052.6925077438354,11,12.0,635.0,65.45
1082.9565424919128,12,26.0,635.0,65.05
1102.1952743530273,12,26.0,635.0,65.25
1121.995001077652,12,13.0,635.0,65.45
1141.615505695343,12,13.0,635.0,64.76
1171.9024138450623,13,26.0,635.0,65.05
1191.629736661911,13,25.0,635.0,65.44
1210.845944404602,13,26.0,635.0,64.95
1229.9592807292938,13,12.0,635.0,65.06
1260.6532554626465,14,25.0,635.0,65.25
1279.7708938121796,14,27.0,635.0,64.95
1299.7630157470703,14,17.0,635.0,64.95
1318.782321691513,14,12.0,635.0,65.44
1349.3510961532593,15,14.0,635.0,65.15
1368.5640046596527,15,25.0,635.0,65.24
1388.4604947566986,15,24.0,635.0,65.34
1407.486533164978,15,12.0,635.0,65.05
1438.0943205356598,16,20.0,635.0,65.15
1457.9146356582642,16,26.0,635.0,65.34
1477.6173100471497,16,23.0,635.0,65.05
1497.1312515735626,16,12.0,635.0,65.15
1527.4249811172485,17,22.0,635.0,64.76
1546.925454378128,17,21.0,635.0,64.95
1566.5168697834015,17,26.0,635.0,65.15
1585.8917756080627,17,5.0,635.0,65.55
1616.0230770111084,18,13.0,635.0,65.15
1635.5828521251678,18,24.0,635.0,65.25
1655.130469083786,18,25.0,635.0,65.54
1674.6425824165344,18,13.0,635.0,65.95
1704.7998776435852,19,13.0,635.0,65.25
1724.284410238266,19,13.0,635.0,65.34
1743.8278691768646,19,22.0,635.0,65.55
1763.2243933677673,19,13.0,635.0,65.65
1793.306625366211,20,25.0,635.0,65.34
1812.8962914943695,20,19.0,635.0,65.05
1832.5391101837158,20,13.0,635.0,65.15
1851.946934223175,20,13.0,635.0,65.44
1882.0220575332642,21,24.0,635.0,65.25
1901.6435599327087,21,15.0,635.0,64.95
1921.3166131973267,21,13.0,635.0,65.55
1940.4670958518982,21,10.0,635.0,64.86
1970.6129353046417,22,26.0,635.0,65.76
1990.2489094734192,22,20.0,635.0,64.95
2009.8267722129822,22,25.0,635.0,64.56
2029.2247669696808,22,10.0,635.0,64.66
2059.3433628082275,23,21.0,635.0,65.05
2078.95184135437,23,21.0,635.0,64.66
2098.603415489197,23,24.0,635.0,64.86
2118.0285296440125,23,12.0,635.0,65.05
2148.105003118515,24,22.0,635.0,64.46
2167.7236359119415,24,12.0,635.0,64.76
2187.2267003059387,24,16.0,635.0,65.34
2206.622520685196,24,13.0,635.0,65.34
2236.734808921814,25,26.0,635.0,65.34
2256.33526968956,25,20.0,635.0,65.25
2275.9946010112762,25,17.0,635.0,64.66
2295.132605075836,25,11.0,635.0,64.86
