timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
2.4880118370056152,0,62065.1875,72.311
3.488999366760254,0,62065.1875,72.506
4.490104913711548,0,62065.1875,72.408
5.632025957107544,0,62065.1875,72.214
6.638113021850586,0,62065.1875,72.019
7.639206886291504,0,62065.1875,72.117
8.640580415725708,48,62087.1875,110.562
9.641668558120728,68,62089.1875,127.158
10.642783164978027,0,62089.1875,71.118
11.643893003463745,0,62089.1875,71.118
12.644997119903564,0,62089.1875,71.119
13.651188373565674,0,62099.1875,71.559
14.652283906936646,0,62099.1875,71.267
15.653397798538208,0,62099.1875,71.365
16.654467582702637,0,62099.1875,71.461
17.655517578125,54,62101.1875,96.418
18.656596899032593,66,62101.1875,112.324
19.657681941986084,65,62101.1875,104.066
20.65878677368164,65,62101.1875,106.535
21.65984034538269,66,62101.1875,112.266
22.666038513183594,0,62101.1875,70.769
23.67133617401123,24,62101.1875,71.267
24.672362327575684,23,62101.1875,70.573
25.673449277877808,0,62101.1875,70.367
26.674555778503418,0,62101.1875,70.172
27.675663709640503,0,62101.1875,70.27
28.67685890197754,0,62101.1875,70.27
29.678082942962646,63,62111.1875,108.468
30.679175853729248,63,62111.1875,110.95
31.680674076080322,58,62111.1875,109.193
32.68175411224365,64,62111.1875,110.796
33.68280243873596,45,62111.1875,108.688
34.683878660202026,62,62111.1875,106.355
35.684953927993774,61,62111.1875,107.539
36.686030626297,62,62111.1875,108.03
37.68737053871155,51,62111.1875,84.609
38.688448667526245,64,62111.1875,113.163
39.6895694732666,63,62111.1875,111.701
40.69066047668457,59,62111.1875,106.381
41.69171380996704,62,62111.1875,105.566
42.69281578063965,48,62111.1875,106.937
43.69394779205322,63,62111.1875,109.897
44.695024728775024,63,62111.1875,111.877
45.696077823638916,63,62111.1875,105.469
46.69717311859131,36,62111.1875,84.991
47.69821739196777,63,62111.1875,109.19
48.6992928981781,63,62111.1875,109.316
49.70038986206055,63,62111.1875,107.822
50.70146346092224,63,62111.1875,108.68
51.70254707336426,56,62111.1875,107.738
52.70362567901611,63,62111.1875,112.169
53.704676389694214,64,62111.1875,107.725
54.70575022697449,64,62111.1875,106.051
55.706828355789185,24,62111.1875,85.095
56.70790457725525,63,62111.1875,107.641
57.70895743370056,63,62111.1875,110.796
58.71003746986389,63,62111.1875,113.003
59.71111345291138,63,62111.1875,104.714
60.712197065353394,62,62111.1875,106.175
61.713247537612915,63,62111.1875,111.38
62.71432399749756,63,62111.1875,107.641
63.715404987335205,63,62111.1875,108.902
64.71673774719238,41,62111.1875,84.99
65.71779012680054,63,62111.1875,110.189
66.71886658668518,64,62111.1875,112.118
67.71994280815125,63,62111.1875,104.481
68.7210214138031,62,62111.1875,107.765
69.72207307815552,61,62111.1875,107.668
70.72314977645874,62,62111.1875,103.827
71.72422695159912,62,62111.1875,106.451
72.72530126571655,62,62111.1875,110.452
73.72635793685913,31,62111.1875,84.118
74.72739839553833,62,62111.1875,110.412
75.72847318649292,58,62111.1875,106.283
76.72956538200378,63,62111.1875,107.338
77.7306158542633,64,62111.1875,106.646
78.73220014572144,55,62111.1875,108.625
79.73324155807495,63,62111.1875,109.274
80.73431730270386,63,62111.1875,109.959
81.73536777496338,62,62111.1875,110.815
82.73644399642944,29,62111.1875,83.418
83.73752951622009,63,62111.1875,107.13
84.73863959312439,63,62111.1875,106.245
85.73994731903076,64,62111.1875,108.223
86.7410900592804,63,62111.1875,110.25
87.74217653274536,64,62111.1875,106.155
88.74325752258301,63,62111.1875,106.949
89.74430775642395,63,62111.1875,106.521
90.74538278579712,63,62111.1875,106.342
91.74641036987305,25,62111.1875,81.242
92.74748730659485,64,62111.1875,106.84
93.74853849411011,63,62111.1875,106.148
94.74961376190186,63,62111.1875,109.8
95.75069308280945,63,62111.1875,85.787
96.75176978111267,63,62111.1875,106.354
97.7528247833252,62,62111.1875,102.921
98.75390434265137,63,62111.1875,107.434
99.75525331497192,62,62111.1875,107.337
100.75632309913635,23,62111.1875,108.915
101.75737762451172,63,62111.1875,107.034
102.75845313072205,64,62111.1875,105.954
103.75953722000122,64,62111.1875,104.971
104.76066064834595,63,62111.1875,109.704
105.76170945167542,64,62111.1875,107.13
106.76290082931519,64,62111.1875,105.397
107.76397800445557,63,62111.1875,108.625
108.76456642150879,63,62111.1875,108.29
109.76562118530273,25,62111.1875,105.468
110.76669454574585,64,62111.1875,111.046
111.76777243614197,63,62111.1875,108.029
112.7691297531128,63,62111.1875,111.924
113.77018237113953,64,62111.1875,84.99
114.77128648757935,63,62111.1875,108.43
115.77236342430115,63,62111.1875,107.047
116.77343606948853,63,62111.1875,106.148
117.774822473526,62,62111.1875,106.949
118.77590036392212,35,62111.1875,104.776
119.7769775390625,62,62111.1875,106.222
120.77802205085754,62,62111.1875,109.538
121.77907752990723,64,62111.1875,105.456
122.78015232086182,56,62111.1875,83.515
123.7812294960022,62,62111.1875,107.047
124.78233981132507,62,62111.1875,110.978
125.7833924293518,62,62111.1875,105.371
126.78446531295776,63,62111.1875,106.452
127.78555107116699,49,62111.1875,105.592
128.78659439086914,63,62111.1875,105.566
129.7876513004303,64,62111.1875,107.434
130.78873014450073,64,62111.1875,107.932
131.78980708122253,33,62111.1875,84.208
132.7908411026001,64,62111.1875,105.954
133.791894197464,63,62111.1875,111.341
134.79296851158142,63,62111.1875,111.73
135.79447388648987,64,62111.1875,104.582
136.7955038547516,65,62111.1875,104.085
137.79655528068542,64,62111.1875,104.23
138.79763054847717,63,62111.1875,108.789
139.7987096309662,61,62111.1875,105.954
140.79978561401367,24,62111.1875,87.264
141.80107140541077,64,62111.1875,106.148
142.80214715003967,64,62111.1875,106.743
143.8032283782959,64,62111.1875,107.143
144.8043110370636,64,62111.1875,83.215
145.80536460876465,63,62111.1875,109.498
146.80647802352905,63,62111.1875,111.136
147.80755138397217,64,62111.1875,106.84
148.80862593650818,64,62111.1875,107.919
149.8096833229065,43,62111.1875,105.165
150.81078696250916,62,62111.1875,107.241
151.81185173988342,63,62111.1875,104.886
152.81292510032654,62,62111.1875,109.315
153.81406664848328,62,62111.1875,83.612
154.8151466846466,63,62111.1875,108.983
155.81622433662415,61,62111.1875,109.012
156.81729888916016,62,62111.1875,110.383
157.81837606430054,63,62111.1875,103.516
158.81945395469666,23,62111.1875,109.469
159.82061862945557,62,62111.1875,104.909
160.82170033454895,63,62111.1875,106.549
161.82275247573853,62,62111.1875,105.689
162.8238275051117,63,62111.1875,83.811
163.82490372657776,62,62111.1875,105.954
164.82598209381104,63,62111.1875,106.646
165.82706451416016,63,62111.1875,105.967
166.828138589859,62,62111.1875,110.99
167.82921242713928,53,62111.1875,104.873
168.8302891254425,63,62111.1875,107.559
169.83156967163086,62,62111.1875,104.971
170.83265089988708,63,62111.1875,111.204
171.83393454551697,33,62111.1875,83.515
172.83500981330872,62,62111.1875,106.645
173.8360710144043,63,62111.1875,109.579
174.83714389801025,64,62111.1875,105.288
175.83822083473206,63,62111.1875,106.258
176.8393006324768,63,62111.1875,108.748
177.84036135673523,63,62111.1875,110.173
178.84143662452698,64,62111.1875,105.165
179.8425154685974,62,62111.1875,108.721
180.8436164855957,23,62111.1875,82.072
181.84467363357544,62,62111.1875,105.884
182.84575867652893,63,62111.1875,110.912
183.84682393074036,63,62111.1875,105.857
184.84790086746216,62,62111.1875,109.003
185.8490025997162,62,62111.1875,108.874
186.85007762908936,63,62111.1875,105.067
187.85118412971497,62,62111.1875,108.514
188.85226249694824,62,62111.1875,108.644
189.85332369804382,24,62111.1875,83.908
190.85439896583557,63,62111.1875,107.338
191.85547637939453,61,62111.1875,103.441
192.8565547466278,63,62111.1875,106.756
193.8576135635376,62,62111.1875,104.886
194.85869336128235,62,62111.1875,105.76
195.85976839065552,62,62111.1875,104.582
196.86084270477295,62,62111.1875,110.493
197.86190509796143,61,62111.1875,104.485
198.86321449279785,57,62111.1875,83.418
199.8642897605896,63,62111.1875,107.364
200.8654386997223,63,62111.1875,105.482
201.86649823188782,62,62111.1875,110.424
202.86757612228394,63,62111.1875,105.067
203.86875820159912,50,62111.1875,104.874
204.86983561515808,63,62111.1875,108.805
205.8708930015564,62,62111.1875,110.553
206.87197399139404,62,62111.1875,102.921
207.8730492591858,42,62111.1875,83.114
208.8741273880005,62,62111.1875,108.611
209.875182390213,63,62111.1875,104.777
210.8762607574463,63,62111.1875,105.094
211.87733817100525,64,62111.1875,107.6
212.87845611572266,64,62111.1875,109.371
213.87980604171753,63,62111.1875,104.049
214.8809564113617,63,62111.1875,109.025
215.88203239440918,64,62111.1875,105.857
216.88315081596375,25,62111.1875,83.506
217.88420915603638,64,62111.1875,105.262
218.8852882385254,64,62111.1875,105.954
219.88687658309937,64,62111.1875,104.873
220.88798189163208,63,62111.1875,109.704
221.88904190063477,63,62111.1875,109.4
222.8901219367981,63,62111.1875,108.236
223.89162468910217,60,62111.1875,104.001
224.89286971092224,63,62111.1875,105.165
225.89393019676208,24,62111.1875,83.618
226.89500617980957,63,62111.1875,107.531
227.89608311653137,63,62111.1875,111.039
228.8971598148346,62,62111.1875,105.359
229.89822030067444,63,62111.1875,106.354
230.89930176734924,63,62111.1875,106.342
231.9007477760315,62,62111.1875,108.514
232.9018280506134,63,62111.1875,105.954
233.90288996696472,62,62111.1875,108.818
234.9039671421051,24,62111.1875,101.938
235.905042886734,62,62111.1875,104.583
236.90612125396729,62,62111.1875,108.186
237.90718626976013,62,62111.1875,104.207
238.90826034545898,63,62111.1875,109.995
239.9093337059021,62,62111.1875,104.971
240.91041612625122,62,62111.1875,102.347
241.91148972511292,64,62111.1875,109.012
242.9125702381134,63,62111.1875,102.992
243.9136290550232,24,62111.1875,83.632
244.91471099853516,63,62111.1875,105.386
245.9158148765564,62,62111.1875,108.389
246.91689586639404,62,62111.1875,110.023
247.917973279953,64,62111.1875,105.262
248.91904759407043,63,62111.1875,107.462
249.92031526565552,61,62111.1875,107.821
250.92139101028442,63,62111.1875,104.644
251.9224672317505,62,62111.1875,104.208
252.9235520362854,23,62111.1875,92.716
253.92460107803345,63,62111.1875,106.148
254.92568278312683,63,62111.1875,105.662
255.92685508728027,61,62111.1875,105.953
256.92790937423706,62,62111.1875,104.706
257.9289789199829,62,62111.1875,105.372
258.9300158023834,63,62111.1875,107.518
259.93105840682983,63,62111.1875,104.402
260.9321322441101,63,62111.1875,105.456
261.9331967830658,24,62111.1875,82.524
262.934273481369,63,62111.1875,109.667
263.9353258609772,64,62111.1875,109.039
264.93643379211426,64,62111.1875,107.546
265.9374976158142,63,62111.1875,84.2
266.93857765197754,63,62111.1875,107.697
267.9396562576294,63,62111.1875,104.414
268.9407334327698,63,62111.1875,107.49
269.9417653083801,63,62111.1875,105.565
270.94284534454346,25,62111.1875,104.777
271.94392371177673,64,62111.1875,106.685
272.9450979232788,63,62111.1875,109.869
273.9461567401886,62,62111.1875,104.874
274.9473919868469,61,62111.1875,82.122
275.948801279068,64,62111.1875,106.051
276.94987773895264,63,62111.1875,108.43
277.9509425163269,63,62111.1875,109.081
278.9520182609558,64,62111.1875,103.793
279.9530966281891,49,62111.1875,104.886
280.95418882369995,63,62111.1875,111.135
281.95525884628296,63,62111.1875,107.933
282.9563338756561,63,62111.1875,105.593
283.95744252204895,33,62111.1875,82.815
284.95856976509094,63,62111.1875,108.623
285.95963072776794,62,62111.1875,105.662
286.960706949234,63,62111.1875,106.381
287.96175742149353,63,62111.1875,108.781
288.9631812572479,61,62111.1875,102.642
289.96424746513367,63,62111.1875,105.068
290.96530508995056,63,62111.1875,106.645
291.9663782119751,63,62111.1875,108.409
292.9675769805908,61,62111.1875,82.129
293.96864199638367,64,62111.1875,104.084
294.96969962120056,64,62111.1875,105.456
295.970773935318,63,62111.1875,108.929
296.9718701839447,62,62111.1875,108.486
297.97293734550476,36,62111.1875,110.699
298.9740135669708,63,62111.1875,109.392
299.97508811950684,61,62111.1875,106.353
300.9761641025543,62,62111.1875,105.772
301.9772310256958,56,62111.1875,83.508
302.9784646034241,64,62111.1875,107.337
303.9795341491699,63,62111.1875,110.056
304.98097109794617,63,62111.1875,108.887
305.98203563690186,62,62111.1875,105.76
306.98311734199524,45,62111.1875,104.777
307.9841938018799,61,62111.1875,102.762
308.9852695465088,61,62111.1875,106.245
309.9863336086273,62,62111.1875,105.371
310.9875154495239,48,62111.1875,83.204
311.9885895252228,63,62111.1875,109.08
312.9896638393402,63,62111.1875,108.914
313.99073815345764,63,62111.1875,106.161
314.99181866645813,63,62111.1875,104.388
315.99289083480835,59,62111.1875,105.274
316.99391651153564,63,62111.1875,107.232
317.9949824810028,64,62111.1875,103.683
318.9960587024689,63,62111.1875,106.754
319.9971420764923,26,62111.1875,83.994
320.998343706131,64,62111.1875,105.469
321.9994113445282,64,62111.1875,104.706
323.000691652298,63,62111.1875,106.645
324.0017650127411,64,62111.1875,110.541
325.00284600257874,63,62111.1875,108.333
326.0039303302765,63,62111.1875,105.662
327.00507378578186,63,62111.1875,104.111
328.00615334510803,63,62111.1875,109.413
329.00722789764404,24,62111.1875,81.831
330.00829005241394,64,62111.1875,107.503
331.00936365127563,62,62111.1875,103.793
332.0104401111603,62,62111.1875,106.382
333.0116310119629,63,62111.1875,105.495
334.012708902359,63,62111.1875,105.262
335.01378178596497,63,62111.1875,105.468
336.01485085487366,63,62111.1875,110.161
337.0159258842468,64,62111.1875,105.372
338.0169880390167,25,62111.1875,103.406
339.0180673599243,64,62111.1875,105.274
340.0194020271301,63,62111.1875,105.76
341.0204801559448,63,62111.1875,106.148
342.0218164920807,64,62111.1875,83.696
343.0228922367096,64,62111.1875,106.354
344.0239689350128,64,62111.1875,106.051
345.02504658699036,64,62111.1875,107.435
346.026109457016,64,62111.1875,110.153
347.0271861553192,30,62111.1875,110.541
348.02874422073364,63,62111.1875,104.376
349.02990674972534,63,62111.1875,105.068
350.03126096725464,63,62111.1875,109.081
351.0325629711151,51,62111.1875,83.022
352.0336389541626,63,62111.1875,106.645
353.03471970558167,63,62111.1875,112.021
354.0357828140259,62,62111.1875,105.068
355.03686141967773,62,62111.1875,107.689
356.0379002094269,54,62111.1875,104.596
357.03919529914856,62,62111.1875,104.291
358.04026794433594,63,62111.1875,106.839
359.0413420200348,64,62111.1875,105.98
360.04303312301636,24,62111.1875,82.627
361.04416942596436,63,62111.1875,107.337
362.04523634910583,63,62111.1875,102.457
363.04631638526917,63,62111.1875,106.949
364.0475118160248,63,62111.1875,103.004
365.049090385437,63,62111.1875,108.721
366.05016040802,63,62111.1875,102.347
367.0513517856598,63,62111.1875,104.714
368.05242800712585,64,62111.1875,108.527
369.05350732803345,24,62111.1875,106.148
370.0545721054077,63,62111.1875,105.067
371.0556671619415,63,62111.1875,103.828
372.0571095943451,63,62111.1875,106.412
373.0582129955292,57,62111.1875,110.396
374.0594391822815,63,62111.1875,108.708
375.06069588661194,64,62111.1875,103.89
376.061772108078,64,62111.1875,107.717
377.06284499168396,63,62111.1875,108.209
378.06391406059265,56,62111.1875,105.883
379.0649902820587,65,62111.1875,105.289
380.0660789012909,64,62111.1875,109.558
381.06715273857117,63,62111.1875,104.679
382.0682294368744,26,62111.1875,83.01
383.0697228908539,63,62111.1875,107.738
384.07080030441284,63,62111.1875,104.048
385.0722153186798,64,62111.1875,106.839
386.07328367233276,64,62111.1875,104.208
387.0743634700775,47,62111.1875,106.161
388.07543873786926,63,62111.1875,106.548
389.07648277282715,63,62111.1875,108.68
390.07762145996094,63,62111.1875,105.98
391.07869696617126,38,62111.1875,82.924
392.07978105545044,63,62111.1875,102.713
393.08085894584656,63,62111.1875,105.3
394.0819218158722,63,62111.1875,105.689
395.0830020904541,64,62111.1875,105.953
396.0840792655945,63,62111.1875,108.333
397.08536529541016,63,62111.1875,105.08
398.08643770217896,62,62111.1875,109.108
399.08751249313354,63,62111.1875,108.223
400.0886330604553,24,62111.1875,83.411
401.0897135734558,61,62111.1875,109.081
402.0907816886902,62,62111.1875,105.65
403.0918610095978,63,62111.1875,104.569
404.0929386615753,62,62111.1875,104.11
405.09429454803467,64,62111.1875,109.273
406.0954818725586,64,62111.1875,109.06
407.0965573787689,63,62111.1875,107.697
408.0976378917694,64,62111.1875,106.742
409.09871530532837,24,62111.1875,83.618
410.09978342056274,63,62111.1875,105.967
411.1008644104004,63,62111.1875,106.148
412.1019401550293,63,62111.1875,105.677
413.10323452949524,64,62111.1875,107.932
414.1043071746826,62,62111.1875,105.65
415.1054677963257,63,62111.1875,107.447
416.1065480709076,62,62111.1875,104.013
417.10762453079224,63,62111.1875,106.452
418.10869312286377,24,62111.1875,83.904
419.10976934432983,63,62111.1875,109.364
420.1108465194702,62,62111.1875,104.473
421.11234879493713,61,62111.1875,106.598
422.1134252548218,63,62111.1875,106.382
423.1145040988922,62,62111.1875,107.24
424.1155676841736,63,62111.1875,108.749
425.11664628982544,63,62111.1875,108.501
