epoch,loss,accuracy,val_loss,val_accuracy,epoch_time
0,2.0640413545608522,0.3931,1.9751573687146424,0.48656449044585987,9.69767141342163
1,1.931612056350708,0.52975,1.9054327125002624,0.5536425159235668,9.764291763305664
2,1.8758450609207153,0.5856,1.9195273795704932,0.5362261146496815,9.178318738937378
3,1.8443118227005004,0.61675,1.8722437240515546,0.5858877388535032,9.864639520645142
4,1.8230383501052856,0.63855,1.8249487383350445,0.6355493630573248,9.630721807479858
5,1.8122057985305786,0.648625,1.8418812926407833,0.617734872611465,9.557894945144653
6,1.793860654258728,0.666675,1.8528032910292316,0.6051950636942676,9.780326128005981
7,1.7808071865081787,0.6807,1.860320969751686,0.5974323248407644,9.766515970230103
8,1.767213381767273,0.69495,1.84964214085014,0.6096735668789809,9.49470329284668
9,1.7594647436141968,0.7013,1.7975844448539102,0.6614251592356688,9.560323238372803
10,1.7448105173110962,0.716175,1.800769764906282,0.6588375796178344,9.385958909988403
11,1.737942748260498,0.7234,1.7806877148379185,0.6782444267515924,9.366070747375488
12,1.7306399381637574,0.729975,1.7765528290135086,0.6845143312101911,9.28313159942627
13,1.7216577278137206,0.739275,1.8081649686120878,0.6502786624203821,9.320405721664429
14,1.717434183883667,0.744075,1.7584724692022724,0.70203025477707,9.268199443817139
15,1.7064326789855957,0.7547,1.7700786977816538,0.6898885350318471,9.352751016616821
16,1.6993760944366456,0.762275,1.7595732341146773,0.698546974522293,9.64644980430603
17,1.696093201637268,0.765675,1.7823192306384918,0.6770501592356688,9.661750555038452
18,1.6878734607696533,0.77405,1.7759006137301208,0.6836186305732485,9.55671763420105
19,1.686852324295044,0.774375,1.7562702772723642,0.7027269108280255,9.56592059135437
20,1.6815519832611083,0.7791,1.7550668648094128,0.7048168789808917,9.706111192703247
21,1.6759668745040894,0.786225,1.7536041394920105,0.7062101910828026,9.563830375671387
22,1.6710543186187745,0.790275,1.7448510956612362,0.7148686305732485,9.572506189346313
23,1.6684894720077514,0.79245,1.7412503729959963,0.7184514331210191,9.575383424758911
24,1.6668987695693969,0.7941,1.7520924290274358,0.7075039808917197,9.55431318283081
25,1.655865009689331,0.8054,1.717394827277797,0.7425358280254777,9.56714129447937
26,1.6293232971191407,0.832775,1.7100269255364777,0.7498009554140127,9.588714122772217
27,1.6190281049728394,0.84305,1.7102832194346531,0.7496019108280255,9.547313213348389
28,1.6079042881011962,0.853725,1.6873158892248845,0.7713972929936306,9.244572639465332
29,1.601366277885437,0.8603,1.6857225484908767,0.7742834394904459,9.200080633163452
30,1.5937442953109742,0.867225,1.693423483781754,0.7655254777070064,9.176759243011475
31,1.5905867710113526,0.8718,1.6852542549181895,0.7743829617834395,9.205529928207397
32,1.5864576368331909,0.87605,1.6914552996872336,0.7692078025477707,9.179949045181274
33,1.5844285429000855,0.877925,1.6954555291279105,0.7633359872611465,9.187262535095215
34,1.5797582746505738,0.88195,1.6902573959083314,0.7699044585987261,9.182145118713379
35,1.5744601016998292,0.8876,1.6992742498968816,0.7606488853503185,9.167907476425171
36,1.571558751296997,0.890475,1.6762541912163897,0.7844347133757962,9.153581857681274
37,1.5690122575759888,0.8934,1.6879002303834174,0.7716958598726115,9.160766124725342
38,1.565195600128174,0.896575,1.6943459730998727,0.7654259554140127,9.138317108154297
39,1.5594630586624145,0.9026,1.672879437732089,0.7888136942675159,9.164793729782104
40,1.5607404104232787,0.90205,1.6775390851269862,0.7815485668789809,9.157034397125244
