timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power,epoch
31.362396955490112,9.0,1135.0,65.45,0.0
32.3775532245636,11.0,1135.0,65.65,0.0
33.4369432926178,15.0,1135.0,65.25,0.0
90.22997093200684,28.0,1137.0,67.72,
90.44677948951721,7.0,1137.0,67.72,
90.6527509689331,7.0,1137.0,67.72,
90.86878728866577,7.0,1137.0,67.63,
91.9510338306427,21.0,1139.0,67.62,1.0
93.05422616004944,13.0,1139.0,67.52,1.0
94.0811219215393,17.0,1139.0,67.7,1.0
95.15284490585327,20.0,1139.0,67.52,
95.37298274040222,5.0,1139.0,67.62,
95.58854794502258,5.0,1139.0,67.52,
95.79556822776794,6.0,1139.0,67.72,
96.84018135070801,11.0,1139.0,67.53,2.0
97.95652031898499,19.0,1139.0,67.43,2.0
98.94836115837097,22.0,1139.0,67.92,2.0
100.1026725769043,15.0,1139.0,67.81,
100.31406259536743,7.0,1139.0,67.62,
100.52246141433716,7.0,1139.0,67.81,
100.73505663871765,7.0,1139.0,68.21,
101.8028392791748,21.0,1139.0,67.72,3.0
102.8349061012268,8.0,1139.0,67.6,3.0
103.85981011390686,11.0,1139.0,68.71,3.0
104.92695617675781,15.0,1139.0,67.72,
105.14025926589966,7.0,1139.0,67.92,
105.34963989257812,7.0,1139.0,67.91,
105.55796122550964,7.0,1139.0,68.2,
106.5797975063324,22.0,1141.0,67.92,4.0
107.57195591926575,21.0,1141.0,68.31,4.0
108.62503242492676,20.0,1141.0,67.62,4.0
109.71636605262756,12.0,1141.0,67.73,
109.92216777801514,7.0,1141.0,67.72,
110.12851428985596,7.0,1141.0,67.62,
110.33414459228516,6.0,1141.0,67.52,
111.41850852966309,20.0,1141.0,67.42,5.0
112.4205174446106,22.0,1141.0,67.72,5.0
113.40589833259583,22.0,1141.0,68.72,5.0
114.52678966522217,11.0,1141.0,67.72,
114.7344000339508,7.0,1141.0,67.73,
114.9429075717926,7.0,1141.0,67.72,
115.15326738357544,7.0,1141.0,67.52,
116.17366647720337,17.0,1141.0,67.62,6.0
117.16646957397461,16.0,1141.0,67.72,6.0
118.20557284355164,19.0,1141.0,67.42,6.0
119.25591397285461,21.0,1141.0,67.03,
119.46420240402222,6.0,1141.0,67.23,
119.66912293434143,6.0,1141.0,66.94,
119.87388134002686,6.0,1141.0,67.13,
120.93582034111023,10.0,1141.0,68.21,7.0
121.92663621902466,9.0,1141.0,67.33,7.0
123.11732959747314,6.0,1141.0,67.14,7.0
124.4138298034668,14.0,1141.0,67.13,
124.67774224281311,5.0,1141.0,67.13,
124.93442130088806,7.0,1141.0,67.13,
125.20510649681091,7.0,1141.0,67.13,
126.46858501434326,18.0,1141.0,67.13,8.0
127.70359778404236,17.0,1141.0,67.13,8.0
