epoch,loss,accuracy,val_loss,val_accuracy,epoch_time
0,2.236935454559326,0.201575,2.198049306869507,0.252,1.895831823348999
1,2.1750436309814454,0.273825,2.1657180786132812,0.2875,1.5413591861724854
2,2.145772105407715,0.30905,2.143733501434326,0.3084,1.5462582111358643
3,2.1251872146606448,0.3307,2.121708393096924,0.3345,1.5609157085418701
4,2.1075102954864504,0.35005,2.1123247146606445,0.3416,1.5442819595336914
5,2.0942324895858766,0.3644,2.097670316696167,0.3588,1.5270159244537354
6,2.0814334325790407,0.377175,2.083982229232788,0.3726,1.553309679031372
7,2.069927345275879,0.3877,2.0731513500213623,0.3841,1.501636028289795
8,2.0623128841400145,0.395875,2.062335968017578,0.3945,1.539259910583496
9,2.0526155941009523,0.404925,2.0536985397338867,0.4014,1.53983736038208
10,2.045905934715271,0.41275,2.048922538757324,0.4072,1.5271227359771729
11,2.036853186416626,0.422475,2.044647216796875,0.4095,1.5280194282531738
12,2.0305175119400025,0.428725,2.034250259399414,0.4217,1.5781183242797852
13,2.0200425958633423,0.4402,2.0235276222229004,0.4356,1.5391740798950195
14,2.0151953523635866,0.44455,2.0226051807403564,0.4346,1.5597114562988281
15,2.0094362825393675,0.450625,2.015779972076416,0.4413,1.5229082107543945
16,2.0042814764022827,0.45615,2.01180362701416,0.4484,1.5369114875793457
17,1.9977535106658935,0.462975,2.011974573135376,0.4447,1.5311291217803955
18,1.9947624633789063,0.465975,2.009404182434082,0.4472,1.5612318515777588
19,1.9893690860748292,0.47015,2.0000200271606445,0.4585,1.5257747173309326
20,1.983122576522827,0.47745,1.9966135025024414,0.4634,1.5293445587158203
21,1.981448649787903,0.47985,1.9939515590667725,0.4636,1.5135631561279297
22,1.9753329433441162,0.485425,1.9941275119781494,0.4652,1.5346543788909912
23,1.9712682792663574,0.49045,1.9870795011520386,0.4695,1.505030870437622
24,1.9677154052734376,0.493025,1.9864439964294434,0.4721,1.5353918075561523
25,1.9635886947631835,0.49705,1.9818576574325562,0.4756,1.5654308795928955
26,1.9608907106399536,0.499975,1.9775036573410034,0.4811,1.5192089080810547
27,1.9567205003738404,0.50505,1.9720743894577026,0.4879,1.5725743770599365
28,1.9532253246307374,0.508175,1.9736652374267578,0.4866,1.5016446113586426
29,1.9504388956069947,0.51015,1.9641761779785156,0.4958,1.5029685497283936
30,1.9448506217956543,0.51745,1.9696595668792725,0.4861,1.5725455284118652
31,1.9407903429031372,0.52215,1.9666500091552734,0.4923,1.5648994445800781
32,1.9391017910003663,0.5222,1.9610482454299927,0.4965,1.5576667785644531
33,1.9354402626037597,0.527125,1.9614887237548828,0.4959,1.5183184146881104
34,1.9318906566619873,0.52915,1.9560929536819458,0.5029,1.5195560455322266
35,1.9312361656188965,0.5308,1.950299620628357,0.5065,1.5416624546051025
36,1.9266453287124634,0.5352,1.950455665588379,0.5102,1.5194876194000244
37,1.9274944374084473,0.53475,1.9483247995376587,0.5121,1.5369348526000977
38,1.922343247795105,0.538275,1.9543448686599731,0.504,1.5198073387145996
39,1.9186617389678955,0.5443,1.944472074508667,0.517,1.532691478729248
40,1.9155670623779297,0.545775,1.9448144435882568,0.5134,1.5480332374572754
41,1.9152498447418214,0.544975,1.9405523538589478,0.519,1.5019440650939941
42,1.9090660919189453,0.552475,1.9369398355484009,0.5206,1.5395209789276123
43,1.9085245721817017,0.552675,1.9411731958389282,0.5182,1.4825096130371094
44,1.9060196659088136,0.55645,1.9367804527282715,0.5211,1.5521438121795654
45,1.904004069328308,0.557725,1.9316521883010864,0.529,1.5508983135223389
46,1.8993353242874145,0.562325,1.9308761358261108,0.5271,1.5352058410644531
47,1.8992572463989257,0.56305,1.9342631101608276,0.5249,1.5331673622131348
48,1.8963807580947876,0.565625,1.925568699836731,0.535,1.5733461380004883
49,1.893453610420227,0.568675,1.923805832862854,0.5343,1.5497617721557617
50,1.8926796712875367,0.569675,1.9199787378311157,0.5378,1.570676326751709
51,1.889185143661499,0.57415,1.921376347541809,0.5381,1.5303633213043213
52,1.8859694253921508,0.576425,1.9217504262924194,0.5389,1.5579650402069092
53,1.8838373250961304,0.578375,1.9175419807434082,0.5418,1.541886568069458
54,1.8809299100875854,0.58115,1.9148613214492798,0.5453,1.5256068706512451
55,1.8804379482269287,0.583125,1.9101837873458862,0.5498,1.5270586013793945
56,1.8788588268280029,0.582,1.91543710231781,0.5452,1.562760591506958
57,1.8763383928298951,0.586775,1.911557674407959,0.5483,1.5538382530212402
58,1.8724505794525146,0.58925,1.9117519855499268,0.548,1.5248327255249023
59,1.8711962394714357,0.5913,1.9081132411956787,0.5513,1.5173707008361816
60,1.868824760055542,0.59395,1.908765196800232,0.5506,1.5368154048919678
61,1.8681818964004517,0.59515,1.9035977125167847,0.5577,1.5460281372070312
62,1.863878677749634,0.5987,1.9069751501083374,0.5526,1.5519602298736572
63,1.8640229173660279,0.598425,1.9052330255508423,0.5511,1.5412585735321045
64,1.8617830181121826,0.600925,1.9048978090286255,0.5541,1.5538058280944824
65,1.8620991750717164,0.6013,1.9051005840301514,0.5511,1.5516557693481445
66,1.8581299507141114,0.60445,1.9026083946228027,0.5559,1.5217723846435547
67,1.8547291019439698,0.6093,1.9033162593841553,0.556,1.523021936416626
68,1.8561012351989745,0.607075,1.8962836265563965,0.5618,1.5137341022491455
69,1.854240722465515,0.608975,1.9025232791900635,0.5563,1.5485398769378662
70,1.8500384641647338,0.61295,1.8943660259246826,0.5654,1.5276062488555908
71,1.8489193563461304,0.61425,1.8943302631378174,0.5651,1.5151221752166748
72,1.8481646867752075,0.61395,1.8913522958755493,0.5697,1.5241515636444092
73,1.8451425893783568,0.618775,1.900486707687378,0.5577,1.5418004989624023
74,1.8445492952346803,0.617775,1.8905539512634277,0.5693,1.5722482204437256
75,1.8427145141601562,0.620425,1.8887134790420532,0.5699,1.509183406829834
76,1.8402700584411622,0.623,1.8897650241851807,0.5707,1.5374782085418701
77,1.839284510231018,0.623325,1.8860242366790771,0.5747,1.5582726001739502
78,1.8377453771591186,0.6259,1.8910921812057495,0.5689,1.5208687782287598
79,1.8357764524459839,0.62775,1.8905396461486816,0.5701,1.5226292610168457
80,1.8339601137161254,0.630125,1.887880802154541,0.5725,1.5353002548217773
81,1.830222794151306,0.632875,1.8894321918487549,0.5675,1.5372941493988037
82,1.8315167770385743,0.6315,1.891108751296997,0.5674,1.536611557006836
83,1.8283357627868653,0.63485,1.8819907903671265,0.5789,1.5181810855865479
84,1.8263831985473633,0.6359,1.8796435594558716,0.5794,1.526226282119751
85,1.8269933513641357,0.6362,1.8821722269058228,0.5791,1.5757830142974854
86,1.8236620746612549,0.6389,1.8805755376815796,0.5797,1.5310871601104736
87,1.8216578058242798,0.641825,1.8780646324157715,0.5827,1.5159063339233398
88,1.8200295085906983,0.643125,1.8749014139175415,0.5849,1.5236732959747314
89,1.818598596572876,0.64505,1.8711146116256714,0.5874,1.5329277515411377
90,1.8173605215072632,0.6454,1.8745535612106323,0.5867,1.535620927810669
91,1.8142133897781372,0.64945,1.8729569911956787,0.586,1.5150482654571533
92,1.8133807579040528,0.650275,1.873180866241455,0.5863,1.5598065853118896
93,1.8119675079345703,0.651175,1.876114845275879,0.582,1.5509014129638672
94,1.8111903575897217,0.6528,1.8741605281829834,0.5858,1.5348188877105713
95,1.8104111833572387,0.65255,1.877447247505188,0.5816,1.51473069190979
96,1.8083824113845826,0.65605,1.8728439807891846,0.585,1.5216290950775146
97,1.8075950658798219,0.65615,1.8786042928695679,0.5806,1.5157203674316406
98,1.806402914237976,0.656275,1.8705015182495117,0.5906,1.547086238861084
99,1.8056895191192628,0.658,1.8692800998687744,0.5902,1.5175974369049072
