timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power,epoch
3.097860813140869,35.0,669.0,70.4,0.0
5.6593241691589355,40.0,669.0,103.19,0.0
8.353660583496094,36.0,669.0,77.07,0.0
10.744892358779907,40.0,669.0,71.61,0.0
11.126676559448242,22.0,669.0,69.96,
11.47956895828247,22.0,669.0,80.94,
11.817363262176514,15.0,669.0,70.55,
12.170135259628296,20.0,669.0,71.12,
14.859108448028564,28.0,671.0,71.14,1.0
17.24869203567505,28.0,671.0,70.14,1.0
19.637825965881348,23.0,671.0,70.25,1.0
22.30537700653076,31.0,671.0,72.79,1.0
22.659010648727417,14.0,671.0,70.26,
23.00454807281494,20.0,671.0,71.22,
23.34572410583496,23.0,671.0,86.91,
23.674532651901245,15.0,671.0,69.95,
26.163838386535645,41.0,671.0,99.58,2.0
28.54863739013672,38.0,671.0,78.78,2.0
31.07011389732361,38.0,671.0,88.29,2.0
33.564308404922485,35.0,671.0,74.28,2.0
33.91234731674194,15.0,671.0,70.64,
34.212438106536865,24.0,671.0,70.15,
34.509249448776245,14.0,671.0,92.3,
34.794474601745605,27.0,671.0,84.35,
37.223090410232544,39.0,671.0,70.34,3.0
39.74017333984375,23.0,671.0,70.86,3.0
42.24073624610901,38.0,671.0,71.44,3.0
44.65299201011658,40.0,671.0,98.88,3.0
44.99532079696655,19.0,671.0,70.65,
45.32976007461548,17.0,671.0,76.52,
45.63322329521179,25.0,671.0,76.33,
45.95878267288208,13.0,671.0,91.55,
48.47554039955139,38.0,671.0,70.54,4.0
50.89648485183716,39.0,671.0,70.25,4.0
53.32249426841736,40.0,671.0,70.74,4.0
55.82455229759216,26.0,671.0,70.45,4.0
56.141703367233276,21.0,671.0,69.47,
56.436235427856445,20.0,671.0,69.36,
56.73043179512024,22.0,671.0,69.27,
57.02740716934204,18.0,671.0,70.44,
59.416762590408325,40.0,673.0,94.87,5.0
61.92463779449463,38.0,673.0,98.09,5.0
64.32304644584656,39.0,673.0,81.93,5.0
66.80922842025757,38.0,673.0,71.51,5.0
67.12473487854004,24.0,673.0,72.6,
67.44796299934387,13.0,673.0,88.88,
67.78106260299683,23.0,673.0,70.25,
68.06834268569946,17.0,673.0,70.45,
70.5759162902832,38.0,673.0,71.15,6.0
72.98054766654968,39.0,673.0,95.83,6.0
75.50351357460022,23.0,673.0,69.86,6.0
78.01137328147888,38.0,673.0,97.97,6.0
78.3539023399353,20.0,673.0,70.25,
78.65628981590271,20.0,673.0,70.45,
78.94158816337585,20.0,673.0,69.35,
79.2673761844635,18.0,673.0,70.74,
81.82208847999573,38.0,673.0,95.17,7.0
84.25133442878723,40.0,673.0,69.95,7.0
86.6801381111145,39.0,673.0,70.25,7.0
89.19575595855713,29.0,673.0,70.34,7.0
89.53243398666382,16.0,673.0,73.59,
89.84061360359192,26.0,673.0,75.86,
90.17661643028259,15.0,673.0,90.26,
90.50243282318115,21.0,673.0,69.96,
92.9349114894867,40.0,673.0,71.81,8.0
95.44388914108276,33.0,673.0,71.51,8.0
97.93933868408203,38.0,673.0,70.54,8.0
100.37335276603699,40.0,673.0,72.5,8.0
100.71519136428833,24.0,673.0,91.41,
101.05022025108337,18.0,673.0,69.66,
101.38017582893372,18.0,673.0,71.82,
101.68668699264526,26.0,673.0,71.82,
104.22135806083679,20.0,673.0,92.23,9.0
106.64388489723206,23.0,673.0,93.8,9.0
109.03267812728882,40.0,673.0,80.25,9.0
111.55385851860046,38.0,673.0,91.08,9.0
111.88555240631104,18.0,673.0,71.24,
112.21566486358643,19.0,673.0,70.83,
112.51062154769897,23.0,673.0,70.45,
112.80768966674805,20.0,673.0,70.64,
115.18663740158081,40.0,673.0,99.07,10.0
117.68018960952759,38.0,673.0,84.7,10.0
120.04893064498901,40.0,673.0,70.95,10.0
122.55044555664062,29.0,673.0,70.74,10.0
122.87912082672119,17.0,673.0,71.92,
123.17666244506836,25.0,673.0,70.85,
123.47073483467102,17.0,673.0,70.54,
123.76689910888672,23.0,673.0,70.14,
126.13785195350647,26.0,673.0,99.74,11.0
128.54590225219727,25.0,673.0,96.74,11.0
131.04795837402344,38.0,673.0,97.14,11.0
133.44229412078857,40.0,673.0,77.04,11.0
133.74934434890747,14.0,673.0,78.09,
134.05577850341797,26.0,673.0,82.43,
134.35087966918945,14.0,673.0,76.66,
134.64832973480225,27.0,673.0,74.48,
137.07749223709106,39.0,673.0,103.29,12.0
139.49101400375366,39.0,673.0,93.42,12.0
141.87061381340027,38.0,673.0,74.08,12.0
144.37267923355103,38.0,673.0,71.92,12.0
144.702819108963,25.0,673.0,83.7,
145.00701093673706,15.0,673.0,84.01,
145.32950091362,22.0,673.0,70.04,
145.66097974777222,20.0,673.0,70.04,
148.18594908714294,38.0,673.0,71.32,13.0
150.59816765785217,39.0,673.0,71.71,13.0
152.98941564559937,40.0,673.0,70.54,13.0
155.50488376617432,32.0,673.0,70.44,13.0
155.83383059501648,15.0,673.0,73.59,
156.13866019248962,27.0,673.0,73.89,
156.4617154598236,16.0,673.0,92.78,
156.79294276237488,21.0,673.0,69.93,
159.19868564605713,40.0,673.0,69.95,14.0
161.606059551239,40.0,673.0,70.55,14.0
164.10437035560608,25.0,673.0,96.08,14.0
166.49925923347473,23.0,673.0,90.26,14.0
166.84033966064453,21.0,673.0,69.66,
167.17289066314697,22.0,673.0,71.42,
167.47180581092834,16.0,673.0,71.24,
167.7545530796051,23.0,673.0,70.24,
170.14765071868896,30.0,673.0,70.24,15.0
172.64537453651428,38.0,673.0,71.33,15.0
175.03273034095764,40.0,673.0,84.19,15.0
177.40947771072388,36.0,673.0,70.55,15.0
177.71712708473206,16.0,673.0,70.74,
178.01510500907898,25.0,673.0,70.34,
178.3118016719818,17.0,673.0,70.04,
178.64361882209778,24.0,673.0,74.97,
181.05425548553467,40.0,673.0,78.97,16.0
183.5651285648346,38.0,673.0,78.88,16.0
185.94294929504395,40.0,673.0,71.15,16.0
188.4568955898285,34.0,673.0,70.54,16.0
188.79852962493896,15.0,673.0,81.35,
189.131267786026,21.0,673.0,70.34,
189.4603202342987,21.0,673.0,70.14,
189.75589871406555,17.0,673.0,69.85,
192.1595594882965,40.0,673.0,69.35,17.0
194.66758584976196,31.0,673.0,69.57,17.0
197.0555682182312,28.0,673.0,69.36,17.0
199.56700992584229,38.0,673.0,69.46,17.0
199.8736732006073,21.0,673.0,69.85,
200.20043206214905,17.0,673.0,69.36,
200.49808359146118,23.0,673.0,69.36,
200.79618859291077,18.0,673.0,70.34,
203.16950011253357,41.0,673.0,97.59,18.0
205.672438621521,23.0,673.0,88.02,18.0
208.0652561187744,40.0,673.0,74.97,18.0
210.57971334457397,38.0,673.0,75.07,18.0
210.9227888584137,18.0,673.0,69.95,
211.22230458259583,21.0,673.0,69.36,
211.52109670639038,20.0,673.0,69.45,
211.8184666633606,22.0,673.0,70.64,
214.21153378486633,40.0,673.0,87.8,19.0
216.69161438941956,39.0,673.0,71.61,19.0
219.16854453086853,30.0,673.0,70.85,19.0
221.56484508514404,29.0,673.0,99.62,19.0
221.90391445159912,18.0,673.0,70.32,
222.20948839187622,24.0,673.0,70.34,
222.53058981895447,14.0,673.0,72.89,
222.86015486717224,23.0,673.0,88.89,
225.3504786491394,38.0,673.0,77.01,20.0
227.81132984161377,31.0,673.0,70.83,20.0
230.28883743286133,38.0,673.0,92.93,20.0
232.75999069213867,38.0,673.0,71.04,20.0
233.10475993156433,23.0,673.0,87.53,
233.4305477142334,19.0,673.0,70.45,
233.73597288131714,21.0,673.0,70.55,
234.0608034133911,23.0,673.0,69.66,
236.57560276985168,38.0,673.0,70.14,21.0
238.95039868354797,40.0,673.0,70.45,21.0
241.29212880134583,37.0,673.0,69.75,21.0
243.67593812942505,30.0,673.0,70.65,21.0
244.00675773620605,17.0,673.0,70.54,
244.30286407470703,24.0,673.0,70.25,
244.61930394172668,15.0,673.0,70.24,
244.9489688873291,24.0,673.0,74.08,
247.45230793952942,39.0,673.0,74.28,22.0
249.8403651714325,40.0,673.0,70.94,22.0
252.328861951828,31.0,673.0,70.34,22.0
254.71795892715454,29.0,673.0,93.0,22.0
255.05053234100342,18.0,673.0,69.85,
255.34867811203003,24.0,673.0,69.86,
255.65739679336548,17.0,673.0,69.95,
255.94292211532593,22.0,673.0,70.45,
258.33244800567627,28.0,673.0,94.29,23.0
260.8004128932953,38.0,673.0,71.14,23.0
263.16981077194214,31.0,673.0,70.45,23.0
265.5139558315277,41.0,673.0,70.64,23.0
265.8551483154297,23.0,673.0,81.05,
266.17583751678467,19.0,673.0,92.5,
266.47170424461365,22.0,673.0,91.46,
266.79142928123474,20.0,673.0,92.73,
269.18389654159546,29.0,673.0,93.98,24.0
271.6739926338196,38.0,673.0,78.78,24.0
274.0617742538452,40.0,673.0,71.51,24.0
276.5570595264435,38.0,673.0,70.45,24.0
276.9024178981781,23.0,673.0,80.25,
277.22254967689514,19.0,673.0,92.83,
277.51893615722656,22.0,673.0,91.41,
277.83207654953003,20.0,673.0,70.34,
280.23880887031555,30.0,673.0,99.51,25.0
282.73942852020264,38.0,673.0,100.5,25.0
285.1304221153259,40.0,673.0,77.51,25.0
287.61921310424805,38.0,673.0,71.22,25.0
287.9585762023926,23.0,673.0,87.51,
288.2768671512604,20.0,673.0,71.14,
288.60955238342285,17.0,673.0,70.22,
288.9313254356384,25.0,673.0,71.14,
291.32618975639343,38.0,673.0,70.64,26.0
293.80905055999756,39.0,673.0,70.65,26.0
296.2034842967987,40.0,673.0,94.45,26.0
298.6899082660675,23.0,673.0,77.31,26.0
299.03306698799133,20.0,673.0,70.25,
299.3532500267029,23.0,673.0,70.05,
299.64898777008057,17.0,673.0,70.22,
299.9555013179779,23.0,673.0,70.24,
302.37705659866333,40.0,673.0,70.86,27.0
304.81284618377686,39.0,673.0,75.26,27.0
307.31489515304565,21.0,673.0,72.89,27.0
309.70865631103516,40.0,673.0,70.95,27.0
310.049765586853,23.0,673.0,80.15,
310.3465733528137,18.0,673.0,76.43,
310.6574532985687,22.0,673.0,84.06,
310.98710656166077,20.0,673.0,70.15,
313.479487657547,38.0,673.0,98.09,28.0
315.88514733314514,40.0,673.0,96.23,28.0
318.39183282852173,26.0,673.0,87.26,28.0
