epoch,loss,accuracy,val_loss,val_accuracy,epoch_time
0,2.0912172687530517,0.3643,2.0364154835415493,0.42237261146496813,12.282812356948853
1,1.9868389375686646,0.473275,2.0358309221875137,0.4205812101910828,11.50305724143982
2,1.9106971036911011,0.550275,1.8979132646208356,0.5616042993630573,11.107200622558594
3,1.8331293008804321,0.62925,1.8339845898804392,0.627687101910828,11.163726806640625
4,1.8039118703842163,0.657825,1.8190441685877028,0.6429140127388535,11.066935777664185
5,1.7790115798950195,0.682275,1.8211913852934625,0.6405254777070064,11.041098833084106
6,1.7546238653182984,0.708325,1.794927608435321,0.6639132165605095,11.212156057357788
7,1.7372425840377808,0.72475,1.7770590318995676,0.6846138535031847,11.224282503128052
8,1.7210568925857543,0.7417,1.7507787745469694,0.7098925159235668,11.194989919662476
9,1.7047118984222411,0.75725,1.7450900024669185,0.716859076433121,11.109625816345215
10,1.6934196979522704,0.76855,1.7556539735976298,0.7038216560509554,10.945745706558228
11,1.6803639751434327,0.781875,1.7202362619387876,0.7393511146496815,10.903123617172241
12,1.6720597629547118,0.7905,1.7279965535850281,0.7336783439490446,11.001387119293213
13,1.661802682685852,0.80065,1.7004642471386369,0.7600517515923567,11.146724224090576
14,1.6548513538360596,0.806925,1.7204215891042334,0.7398487261146497,10.937407732009888
15,1.6489045267105102,0.813175,1.733889670129035,0.7242237261146497,10.88849425315857
16,1.6393286211013793,0.8231,1.696399230865916,0.7652269108280255,11.134976387023926
17,1.6346284021377564,0.8274,1.6986713842221886,0.7619426751592356,11.01801586151123
18,1.6281377571105957,0.833225,1.7164012831487474,0.7426353503184714,11.035121202468872
19,1.6226282709121704,0.8399,1.7188042470603992,0.740843949044586,11.027669906616211
20,1.618172798538208,0.844275,1.693272244398761,0.7671178343949044,11.224635362625122
21,1.6131086639404297,0.8485,1.6936738278455794,0.7669187898089171,10.875975847244263
22,1.6066857536315917,0.85565,1.6959818123252528,0.7653264331210191,10.993993520736694
23,1.6011014616012573,0.86045,1.6773417201011804,0.783140923566879,10.848164319992065
24,1.5979469984054566,0.863925,1.701584126539291,0.7581608280254777,11.0403573513031
25,1.59083210773468,0.871875,1.6790333902759917,0.7804538216560509,11.1000497341156
26,1.5887820941925048,0.872875,1.7041291886833823,0.7565684713375797,11.023547172546387
27,1.5860854242324829,0.876375,1.6896162541808597,0.7703025477707006,11.031889915466309
28,1.578419503211975,0.88405,1.6818121428702288,0.7789609872611465,11.093758821487427
29,1.5750536077499389,0.887275,1.6844267009929488,0.7749800955414012,11.149956941604614
30,1.5748600578308105,0.8865,1.686619941596013,0.7721934713375797,11.092582702636719
31,1.5712497934341432,0.890575,1.6824558062158572,0.7769705414012739,11.141586542129517
32,1.5672862806320191,0.8945,1.6731324947563706,0.7891122611464968,11.033776998519897
33,1.563286025428772,0.8985,1.672022894689232,0.7866242038216561,11.061433553695679
34,1.5596096075057984,0.90295,1.6813197280191312,0.7799562101910829,10.87702226638794
35,1.556917790031433,0.905325,1.6785088731984423,0.7824442675159236,10.893222332000732
36,1.5559144590377807,0.90565,1.6723806782133261,0.7880175159235668,10.976407289505005
37,1.5530982763290406,0.908775,1.6707975629029002,0.790406050955414,11.022308588027954
38,1.551042112159729,0.91095,1.6844531176196542,0.7757762738853503,10.895060300827026
39,1.5507141302108765,0.9109,1.6745877865773098,0.7855294585987261,10.932195663452148
40,1.5460627849578858,0.9162,1.6787168774635168,0.7792595541401274,10.948649644851685
41,1.5436036840438843,0.918275,1.6878718487016715,0.7713972929936306,11.002731561660767
42,1.5420094413757324,0.91995,1.6713239197518415,0.7889132165605095,11.015550136566162
43,1.5406031211853026,0.921775,1.6711287111233755,0.7895103503184714,10.893845796585083
44,1.5381485090255738,0.923725,1.6734467881500341,0.7864251592356688,10.919100999832153
45,1.537870015144348,0.924,1.6777324744850208,0.7814490445859873,11.048365831375122
46,1.5359994146347047,0.92555,1.6622295789657884,0.7984673566878981,10.984256267547607
47,1.533751376914978,0.928275,1.672631442926492,0.7867237261146497,11.00794005393982
48,1.5368563251495362,0.924825,1.6641070599768573,0.7954816878980892,11.0188307762146
49,1.532350359916687,0.9291,1.686686813451682,0.7741839171974523,10.918877363204956
50,1.5300976234436034,0.9319,1.678110998147612,0.7820461783439491,10.92391562461853
51,1.5318580713272094,0.92965,1.6677982898274804,0.7932921974522293,10.962547540664673
52,1.5270008388519287,0.93455,1.692658562569102,0.7680135350318471,10.920053243637085
53,1.5272235067367554,0.934675,1.6715060753427493,0.7884156050955414,10.949085474014282
54,1.5288198484420776,0.932775,1.6706964468500416,0.7898089171974523,10.988284587860107
55,1.5255823179244996,0.9357,1.6686838713421184,0.791202229299363,10.968997955322266
56,1.5231765098571777,0.938375,1.669699773666965,0.7884156050955414,10.976082801818848
57,1.5223266733169556,0.93925,1.6668955778620045,0.7927945859872612,11.083962202072144
58,1.5221786806106568,0.9398,1.6713841978911381,0.7870222929936306,10.853991746902466
59,1.5214658430099488,0.940375,1.6723841747660546,0.7881170382165605,10.870447158813477
60,1.5200085140228272,0.9418,1.667081332510444,0.7920979299363057,10.947699785232544
61,1.5192053258895875,0.94225,1.6796640666427127,0.78015525477707,11.082709550857544
62,1.5177992527008057,0.94395,1.6692218218639399,0.7913017515923567,11.030575037002563
63,1.5189015171051026,0.9423,1.6729015256189237,0.7879179936305732,11.131846189498901
64,1.51600321598053,0.945775,1.6892769875799774,0.7707006369426752,10.863441467285156
65,1.5202377815246582,0.941275,1.6668674687671055,0.7926950636942676,11.150257587432861
66,1.514686951637268,0.9469,1.6836598268739738,0.7756767515923567,10.877527952194214
67,1.5140514772415161,0.947875,1.6724179254215994,0.7879179936305732,10.820189952850342
68,1.5134284139633178,0.9483,1.67028511177962,0.7900079617834395,11.062477588653564
69,1.511244436264038,0.950475,1.6704355409950207,0.7903065286624203,10.963308334350586
70,1.510320382499695,0.95155,1.6681680056699522,0.7920979299363057,11.225868463516235
71,1.513207635116577,0.94855,1.6684530274883198,0.7913017515923567,10.83858323097229
72,1.5114312232971192,0.950575,1.6749964815795801,0.785031847133758,10.982849836349487
73,1.5095378087997438,0.952,1.6650815359346427,0.7951831210191083,11.057904720306396
74,1.5105343252182006,0.95115,1.6669481597888243,0.7936902866242038,11.000884056091309
75,1.509475514793396,0.95195,1.6736338738423244,0.7872213375796179,10.984992265701294
76,1.510207886695862,0.951625,1.6646555692526945,0.7953821656050956,10.994033336639404
77,1.5103970933914184,0.9512,1.6624082547084542,0.7972730891719745,10.988619089126587
78,1.507440602684021,0.953975,1.6732219184280201,0.7862261146496815,11.008884191513062
79,1.5059353553771972,0.95585,1.6664276312870585,0.7934912420382165,11.020378589630127
80,1.5057689249038697,0.955825,1.6664579719494863,0.7935907643312102,11.150236368179321
81,1.506291012954712,0.95555,1.6698922032763244,0.7894108280254777,10.987484216690063
82,1.509156102371216,0.9523,1.6741818121284435,0.7851313694267515,10.977525472640991
83,1.5075924098968505,0.953975,1.6652391731359397,0.7951831210191083,10.977590799331665
84,1.5054720497131349,0.95655,1.6736842424246916,0.7865246815286624,11.030370473861694
85,1.50516997795105,0.95645,1.6636219943404957,0.7973726114649682,10.963039875030518
86,1.5049462259292603,0.956625,1.6663623752108045,0.7937898089171974,10.997065782546997
87,1.5025477304458619,0.959325,1.659154251882225,0.8017515923566879,10.93472695350647
88,1.5035634256362915,0.95805,1.6696252154696518,0.7895103503184714,10.744862079620361
89,1.5043869792938231,0.957125,1.664975010665359,0.7951831210191083,11.021881580352783
90,1.5036611112594604,0.957725,1.675488140173019,0.7854299363057324,10.841469287872314
91,1.5019549209594727,0.959475,1.6761492521140227,0.7832404458598726,11.012308359146118
92,1.5053224609375,0.95655,1.6661676494938553,0.7943869426751592,11.065485000610352
