timestamp,epoch,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
11.597394943237305,0,18.0,809.0,68.87
22.2535080909729,0,19.0,809.0,87.36
32.7714204788208,0,19.0,809.0,70.54
43.204052686691284,0,19.0,809.0,69.3
43.342339277267456,0,7.0,809.0,71.54
58.42117166519165,1,19.0,809.0,87.26
68.85763239860535,1,19.0,809.0,76.06
79.25722408294678,1,16.0,809.0,68.48
89.65246963500977,1,19.0,809.0,74.77
89.77856206893921,1,11.0,809.0,73.19
104.61798238754272,2,19.0,809.0,73.98
115.02621030807495,2,17.0,809.0,68.97
125.41424560546875,2,19.0,809.0,75.36
135.8177285194397,2,19.0,809.0,68.58
135.94519639015198,2,7.0,809.0,68.97
150.79178404808044,3,18.0,809.0,68.87
161.43028950691223,3,17.0,809.0,68.86
171.82616710662842,3,12.0,809.0,81.47
182.22143077850342,3,19.0,809.0,69.07
182.34718585014343,3,8.0,809.0,69.36
197.20373272895813,4,19.0,809.0,69.65
207.5974748134613,4,15.0,809.0,68.68
218.17288637161255,4,19.0,809.0,68.57
228.6194338798523,4,19.0,809.0,68.87
228.74723720550537,4,9.0,809.0,69.27
243.2602777481079,5,19.0,809.0,68.97
253.59049797058105,5,13.0,809.0,84.59
264.17735743522644,5,19.0,809.0,68.28
274.64895367622375,5,19.0,809.0,69.56
274.77775955200195,5,11.0,809.0,71.53
289.3215551376343,6,19.0,809.0,70.86
299.7783582210541,6,12.0,809.0,73.79
310.3317632675171,6,19.0,809.0,74.87
320.899941444397,6,16.0,809.0,87.32
321.028760433197,6,16.0,809.0,68.87
336.1136484146118,7,19.0,809.0,68.97
346.6182544231415,7,17.0,809.0,69.18
357.1032814979553,7,19.0,809.0,69.07
367.70350909233093,7,17.0,809.0,93.14
367.8291800022125,7,17.0,809.0,69.16
382.6893901824951,8,18.0,809.0,68.87
393.2230010032654,8,17.0,809.0,68.77
403.66646456718445,8,17.0,809.0,69.57
414.3471806049347,8,18.0,809.0,68.77
414.46914505958557,8,2.0,809.0,69.06
429.4482629299164,9,19.0,809.0,72.11
439.86112117767334,9,19.0,809.0,69.06
450.3361530303955,9,18.0,809.0,71.14
461.0462644100189,9,19.0,809.0,68.7
461.1719832420349,9,11.0,809.0,68.87
476.1061499118805,10,19.0,809.0,68.58
486.78056716918945,10,12.0,809.0,69.06
497.30635619163513,10,19.0,809.0,68.68
507.9781012535095,10,19.0,809.0,69.37
508.10367941856384,10,6.0,809.0,70.24
523.031733751297,11,18.0,809.0,69.17
533.6632628440857,11,18.0,809.0,69.57
544.3180201053619,11,18.0,809.0,68.68
554.9806623458862,11,19.0,809.0,68.97
555.11243891716,11,6.0,809.0,69.85
570.0178163051605,12,18.0,809.0,69.26
580.6671845912933,12,18.0,809.0,69.37
591.3279542922974,12,18.0,809.0,69.37
601.7352533340454,12,18.0,809.0,79.0
601.8655850887299,12,18.0,809.0,68.58
616.51589179039,13,19.0,809.0,87.81
627.2122399806976,13,14.0,809.0,68.97
637.7660708427429,13,19.0,809.0,69.56
648.4604513645172,13,19.0,809.0,90.38
648.5846843719482,13,11.0,809.0,69.57
663.4872252941132,14,19.0,809.0,69.27
674.1271419525146,14,19.0,809.0,68.97
684.7666413784027,14,19.0,809.0,68.68
695.4121851921082,14,19.0,809.0,68.77
695.5432415008545,14,6.0,809.0,69.07
710.4438772201538,15,18.0,809.0,83.41
721.0767719745636,15,18.0,809.0,73.29
731.7263541221619,15,19.0,809.0,74.37
742.393798828125,15,18.0,809.0,89.1
742.5189678668976,15,3.0,809.0,68.68
757.4539458751678,16,18.0,809.0,79.97
768.1858172416687,16,18.0,809.0,72.01
778.8400905132294,16,19.0,809.0,74.97
789.5039274692535,16,12.0,809.0,87.75
789.6310193538666,16,12.0,809.0,69.57
804.5854840278625,17,13.0,809.0,68.68
815.2173836231232,17,12.0,809.0,91.29
825.857996225357,17,12.0,809.0,85.76
836.4906644821167,17,19.0,809.0,75.26
836.6161105632782,17,11.0,809.0,69.16
851.4023218154907,18,17.0,809.0,69.07
862.0638792514801,18,18.0,809.0,68.97
872.7199203968048,18,19.0,809.0,69.66
883.3643035888672,18,19.0,809.0,69.57
883.4908537864685,18,1.0,809.0,71.74
898.1652853488922,19,13.0,809.0,83.52
908.8916490077972,19,18.0,809.0,71.92
919.5094292163849,19,18.0,809.0,69.18
930.1524150371552,19,18.0,809.0,68.37
930.2797343730927,19,1.0,809.0,68.86
945.3160438537598,20,18.0,809.0,68.58
955.970814704895,20,18.0,809.0,68.77
966.6092684268951,20,18.0,809.0,68.87
977.2878694534302,20,11.0,809.0,70.34
977.4190707206726,20,11.0,809.0,73.5
992.3390228748322,21,19.0,809.0,69.27
1002.9882698059082,21,19.0,809.0,69.18
1013.577513217926,21,19.0,809.0,83.8
1024.1661875247955,21,19.0,809.0,68.68
1024.2906618118286,21,19.0,809.0,68.96
1039.2468605041504,22,18.0,809.0,69.16
1049.900269985199,22,18.0,809.0,69.76
1060.5529839992523,22,18.0,809.0,69.65
1071.233597278595,22,19.0,809.0,83.22
1071.3579983711243,22,7.0,809.0,68.67
1086.2883331775665,23,19.0,809.0,74.29
1096.931956768036,23,19.0,809.0,73.1
1107.603698015213,23,18.0,809.0,90.26
1118.2625930309296,23,18.0,809.0,69.57
1118.385833978653,23,9.0,809.0,69.07
1133.2571465969086,24,19.0,809.0,68.68
1143.8451557159424,24,16.0,809.0,73.79
