timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power,epoch
0.8675539493560791,6.0,549.0,63.48,0.0
1.9135949611663818,5.0,549.0,63.58,0.0
3.4790754318237305,3.0,549.0,63.67,0.0
4.974931955337524,5.0,549.0,63.38,0.0
5.225060701370239,2.0,551.0,64.26,
5.4287378787994385,2.0,551.0,63.38,
5.632947206497192,2.0,551.0,63.67,
6.71476674079895,11.0,553.0,63.58,1.0
7.403945446014404,14.0,553.0,63.38,1.0
8.05472183227539,7.0,553.0,63.58,1.0
8.720157861709595,12.0,553.0,63.48,1.0
8.946779727935791,2.0,553.0,63.97,
9.201375484466553,0.0,553.0,63.58,
9.462504386901855,2.0,553.0,63.38,
10.326010942459106,10.0,553.0,63.28,2.0
10.976608991622925,14.0,553.0,63.67,2.0
11.730444431304932,8.0,553.0,63.58,2.0
12.411891222000122,14.0,553.0,63.58,2.0
12.634093523025513,3.0,553.0,63.67,
12.957437992095947,3.0,553.0,63.77,
13.173943996429443,3.0,553.0,64.26,
13.995934247970581,12.0,553.0,63.58,3.0
15.413448572158813,6.0,553.0,64.36,3.0
16.118849754333496,10.0,553.0,63.67,3.0
16.784878730773926,14.0,553.0,64.37,3.0
17.068382501602173,3.0,553.0,63.77,
17.29529905319214,3.0,553.0,63.77,
17.512969493865967,3.0,553.0,64.06,
18.27678918838501,5.0,553.0,63.77,4.0
18.935154914855957,9.0,553.0,63.38,4.0
19.646225452423096,13.0,553.0,64.06,4.0
20.30814838409424,7.0,553.0,63.87,4.0
20.502553701400757,2.0,553.0,63.67,
20.81580662727356,0.0,553.0,63.67,
21.15327501296997,2.0,553.0,63.48,
21.961050748825073,9.0,553.0,63.48,5.0
22.631786584854126,13.0,553.0,63.77,5.0
23.32209038734436,8.0,553.0,63.77,5.0
24.06290316581726,13.0,553.0,63.67,5.0
24.281562566757202,2.0,553.0,63.77,
24.508863925933838,2.0,553.0,63.67,
24.711920976638794,2.0,553.0,63.77,
25.39997696876526,12.0,553.0,63.67,6.0
26.07833218574524,13.0,553.0,63.67,6.0
26.738027334213257,7.0,553.0,63.77,6.0
