epoch,loss,accuracy,val_loss,val_accuracy,epoch_time
0,2.2435751693725585,0.193575,2.1765605036620124,0.2799562101910828,4.625187873840332
1,2.16342589263916,0.29175,2.13153521270509,0.3249402866242038,4.338467836380005
2,2.130841525840759,0.32715,2.108904673795032,0.34912420382165604,4.256928443908691
3,2.110094044494629,0.34725,2.0960277182281395,0.35818073248407645,4.079224348068237
4,2.0957850547790526,0.362325,2.0910212097653917,0.3630573248407643,4.428163051605225
5,2.0844569980621337,0.3736,2.0669200670946934,0.390625,4.094175577163696
6,2.0724011039733887,0.3843,2.055554124959715,0.40147292993630573,3.9214158058166504
7,2.0636426025390624,0.392825,2.047673348408596,0.41052945859872614,3.9329254627227783
8,2.053912053489685,0.405075,2.0420242289828647,0.41749601910828027,3.9484002590179443
9,2.046227201461792,0.4136,2.0314271176696583,0.4268511146496815,3.8742730617523193
10,2.0404816356658935,0.417075,2.0257407669808454,0.430234872611465,3.8761024475097656
11,2.033738103675842,0.42565,2.015224768857288,0.4469546178343949,4.056391000747681
12,2.0265662826538087,0.432675,2.014175351258296,0.44645700636942676,4.040100574493408
13,2.0221400863647463,0.43675,2.009435421342303,0.45133359872611467,4.071483850479126
14,2.014606440925598,0.4452,1.9997319127344022,0.46307722929936307,4.110357999801636
15,2.011215880393982,0.448975,2.004970425253461,0.45421974522292996,4.105335712432861
16,2.0057582817077635,0.453025,1.9955022866558876,0.4624800955414013,4.085975885391235
17,2.0040406297683715,0.45465,1.9871913179470475,0.4742237261146497,3.9955036640167236
18,1.9960018630981444,0.46425,1.9821651057832559,0.4769108280254777,3.8681836128234863
19,1.9923465406417846,0.4674,1.9775673439548274,0.48089171974522293,3.817937135696411
20,1.9881365526199342,0.471475,1.9759676259034757,0.48318073248407645,3.890373706817627
21,1.9839446159362792,0.4759,1.972418517064137,0.4896496815286624,3.9322304725646973
22,1.9800055644989014,0.4799,1.9658615558770052,0.4947253184713376,3.818725347518921
23,1.97684363861084,0.483025,1.965320976676455,0.4928343949044586,4.0025858879089355
24,1.9718232624053955,0.488775,1.9606975635905175,0.49761146496815284,4.200836658477783
25,1.9667512943267822,0.495225,1.9537360569474045,0.5055732484076433,4.2714011669158936
26,1.9629456197738648,0.498425,1.9507939618104582,0.5089570063694268,3.931702136993408
