timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
2.055032253265381,0,80387.1875,65.424
3.056100845336914,0,80387.1875,65.521
4.056835651397705,0,80391.1875,66.019
5.057886600494385,0,80391.1875,65.977
6.058877944946289,0,80391.1875,65.804
7.059934854507446,0,80391.1875,65.597
8.06098222732544,0,80391.1875,65.381
9.062086820602417,0,80409.1875,65.423
10.063206195831299,0,80409.1875,65.229
11.064666986465454,0,80409.1875,65.326
12.065737009048462,23,80409.1875,74.558
13.066836833953857,0,80409.1875,66.729
14.067945718765259,0,80409.1875,65.147
15.068846940994263,0,80409.1875,65.146
16.06983709335327,0,80409.1875,65.341
17.070905685424805,33,80409.1875,65.439
18.07196307182312,0,80409.1875,65.147
19.073015928268433,22,80409.1875,74.383
20.07408356666565,12,80411.1875,65.341
21.075194835662842,25,80411.1875,76.171
22.076273202896118,2,80411.1875,74.644
23.077346563339233,24,80411.1875,75.613
24.078994750976562,23,80411.1875,76.099
25.07982349395752,10,80411.1875,68.713
26.080916166305542,22,80411.1875,72.144
27.082443475723267,12,80411.1875,73.336
28.083511352539062,19,80411.1875,68.299
29.084870100021362,24,80411.1875,73.215
30.085986375808716,9,80411.1875,72.642
31.08755612373352,20,80411.1875,68.007
32.08869171142578,22,80411.1875,72.338
33.089757204055786,4,80411.1875,72.545
34.090850591659546,22,80411.1875,72.533
35.09193015098572,25,80411.1875,73.434
36.09297823905945,11,80411.1875,65.244
37.094077348709106,23,80411.1875,73.41
38.09540629386902,24,80411.1875,73.044
39.09582734107971,14,80411.1875,65.244
40.09688711166382,24,80411.1875,73.129
41.09804081916809,24,80411.1875,73.325
42.09883236885071,13,80411.1875,65.049
43.10011315345764,23,80411.1875,72.464
44.101176500320435,23,80411.1875,74.2
45.102245807647705,24,80411.1875,68.699
46.103331327438354,24,80411.1875,73.799
47.10440373420715,6,80411.1875,73.433
48.104814291000366,22,80411.1875,68.209
49.106273889541626,26,80411.1875,73.823
50.10688352584839,7,80411.1875,73.409
51.107824087142944,24,80411.1875,67.911
52.10935163497925,23,80411.1875,73.629
53.11041617393494,6,80411.1875,73.129
54.11150288581848,24,80411.1875,68.422
55.11259365081787,22,80411.1875,72.935
56.11364769935608,6,80411.1875,72.545
57.11467456817627,22,80411.1875,65.937
58.11574459075928,22,80411.1875,72.24
59.1168053150177,10,80411.1875,64.854
60.118377923965454,24,80411.1875,73.434
61.11944389343262,23,80411.1875,72.643
62.12066674232483,10,80411.1875,64.659
63.12176465988159,22,80411.1875,71.656
64.12281560897827,22,80411.1875,72.046
65.12381601333618,14,80411.1875,68.008
66.12525248527527,22,80411.1875,72.447
67.12631487846375,5,80411.1875,71.948
68.12738847732544,22,80411.1875,68.699
69.12781643867493,22,80411.1875,72.545
70.12885046005249,13,80411.1875,64.756
71.12989735603333,25,80411.1875,73.239
72.13094520568848,25,80411.1875,73.044
73.13259148597717,5,80411.1875,72.046
74.1337080001831,25,80411.1875,64.854
75.1355676651001,25,80411.1875,72.747
76.13712406158447,6,80411.1875,73.337
77.13818979263306,19,80411.1875,67.918
78.13884377479553,25,80411.1875,73.227
79.14011669158936,18,80411.1875,73.312
80.14081406593323,13,80411.1875,67.722
81.14187383651733,24,80411.1875,72.448
82.1429352760315,24,80411.1875,73.239
83.14382982254028,10,80411.1875,64.562
84.14482879638672,26,80411.1875,73.336
85.14588809013367,25,80411.1875,73.532
86.14692115783691,13,80411.1875,65.341
87.14782047271729,26,80411.1875,73.799
88.1494812965393,23,80411.1875,73.701
89.15053939819336,10,80411.1875,64.854
90.15156865119934,25,80411.1875,73.64
91.15315341949463,25,80411.1875,73.336
92.1542112827301,14,80411.1875,72.046
93.15577340126038,24,80411.1875,65.049
94.15736365318298,25,80411.1875,72.74
95.1588728427887,7,80411.1875,72.447
96.15997552871704,27,80411.1875,67.034
97.16114950180054,25,80411.1875,72.643
98.16223382949829,4,80411.1875,73.433
99.16328120231628,25,80411.1875,68.105
100.16458487510681,25,80411.1875,72.934
101.16569828987122,16,80411.1875,73.726
102.1667411327362,12,80411.1875,64.562
103.16782116889954,25,80411.1875,73.032
104.16903305053711,24,80411.1875,73.13
105.16981315612793,12,80411.1875,69.588
106.1708402633667,25,80411.1875,73.433
107.17189693450928,25,80411.1875,73.227
108.17314052581787,10,80411.1875,71.461
109.17475485801697,25,80411.1875,68.306
110.17484736442566,23,80411.1875,72.947
111.17582368850708,9,80411.1875,71.461
112.17737078666687,24,80411.1875,73.239
113.17840528488159,22,80411.1875,72.35
114.17882800102234,13,80411.1875,64.756
115.17983317375183,22,80411.1875,72.253
116.18115830421448,22,80411.1875,72.545
117.18182110786438,11,80411.1875,67.91
118.18281197547913,22,80411.1875,71.961
119.1838858127594,11,80411.1875,72.35
120.18490099906921,22,80411.1875,65.056
121.18641471862793,25,80411.1875,72.837
122.18747639656067,3,80411.1875,73.239
123.18902921676636,12,80411.1875,67.528
124.19012689590454,24,80411.1875,73.142
125.19124937057495,23,80411.1875,72.509
126.1923017501831,9,80411.1875,67.228
127.19348549842834,25,80411.1875,73.044
