timestamp,gpu_2_utilization,gpu_2_memory_used,gpu_2_power,epoch
9.927645206451416,11.0,725.0,63.97,0.0
10.826191902160645,23.0,725.0,63.97,0.0
11.686643600463867,25.0,725.0,64.06,0.0
28.804521799087524,6.0,727.0,64.46,
28.999509572982788,6.0,727.0,64.17,
29.199859380722046,6.0,727.0,64.38,
29.395219087600708,6.0,727.0,65.44,
30.29703116416931,24.0,731.0,65.84,1.0
31.19991683959961,10.0,731.0,65.45,1.0
32.06109166145325,18.0,731.0,64.06,1.0
32.959821939468384,26.0,731.0,64.16,
33.15178871154785,7.0,731.0,64.37,
33.34333515167236,7.0,731.0,63.97,
33.53439283370972,7.0,731.0,64.27,
34.42961382865906,13.0,731.0,64.57,2.0
35.328102588653564,24.0,731.0,64.38,2.0
36.20986008644104,9.0,731.0,64.76,2.0
37.126405000686646,23.0,731.0,65.65,
37.31816101074219,6.0,731.0,65.05,
37.52114534378052,6.0,731.0,64.86,
37.71719288825989,6.0,731.0,64.66,
38.6009635925293,27.0,731.0,64.46,3.0
39.48830795288086,17.0,731.0,64.28,3.0
40.36447739601135,26.0,731.0,64.47,3.0
41.22066569328308,28.0,731.0,64.66,
41.414146423339844,8.0,731.0,64.47,
41.59739422798157,7.0,731.0,64.36,
41.7954375743866,8.0,731.0,64.37,
42.73745369911194,23.0,731.0,64.36,4.0
43.669039249420166,12.0,731.0,64.38,4.0
44.55060362815857,24.0,731.0,64.86,4.0
45.507410764694214,15.0,731.0,64.57,
45.72945046424866,6.0,731.0,64.67,
45.940311670303345,6.0,731.0,64.57,
46.16094779968262,6.0,731.0,64.57,
47.08388376235962,13.0,731.0,64.56,5.0
47.98884606361389,26.0,731.0,64.47,5.0
48.89024209976196,12.0,731.0,64.36,5.0
49.801538705825806,25.0,731.0,64.06,
50.011110067367554,5.0,731.0,63.97,
50.208460569381714,6.0,731.0,63.88,
50.41430306434631,6.0,731.0,63.97,
51.356539487838745,21.0,731.0,64.17,6.0
52.27733850479126,9.0,731.0,64.26,6.0
53.1976101398468,24.0,731.0,64.07,6.0
54.153796911239624,16.0,731.0,64.18,
54.36985945701599,6.0,731.0,63.97,
54.58783674240112,6.0,731.0,64.46,
54.80410099029541,6.0,731.0,64.28,
55.749675273895264,16.0,731.0,64.17,7.0
56.64924097061157,26.0,731.0,64.16,7.0
57.514469146728516,11.0,731.0,64.17,7.0
58.457935094833374,24.0,731.0,64.17,
58.66506266593933,6.0,731.0,63.97,
58.868701457977295,6.0,731.0,64.18,
59.071632623672485,6.0,731.0,64.07,
59.9859299659729,18.0,731.0,64.28,8.0
60.846129417419434,27.0,731.0,64.07,8.0
61.74066758155823,11.0,731.0,64.57,8.0
62.64397048950195,24.0,731.0,64.47,
62.851008892059326,6.0,731.0,64.57,
63.05551099777222,6.0,731.0,64.47,
63.25873565673828,6.0,731.0,64.17,
64.18199419975281,15.0,731.0,64.27,9.0
65.08711767196655,26.0,731.0,64.27,9.0
65.99913430213928,17.0,731.0,64.27,9.0
66.94785761833191,8.0,731.0,64.76,
67.15297412872314,6.0,731.0,64.95,
67.3577139377594,6.0,731.0,65.05,
67.55850744247437,6.0,731.0,65.05,
68.47817301750183,25.0,731.0,64.76,10.0
69.35135769844055,9.0,731.0,64.57,10.0
70.25533509254456,21.0,731.0,64.67,10.0
71.16492033004761,8.0,731.0,64.67,
71.36699390411377,6.0,731.0,64.86,
71.56581163406372,6.0,731.0,64.67,
71.76662540435791,6.0,731.0,64.67,
72.64151644706726,19.0,731.0,64.46,11.0
73.52828288078308,26.0,731.0,64.46,11.0
74.3785707950592,10.0,731.0,64.86,11.0
75.3066656589508,24.0,731.0,64.38,
75.50183773040771,6.0,731.0,66.05,
75.69606876373291,6.0,731.0,65.44,
75.8910322189331,6.0,731.0,64.95,
76.797860622406,11.0,731.0,65.26,12.0
77.64778995513916,17.0,731.0,64.47,12.0
78.53163838386536,26.0,731.0,64.86,12.0
79.4196367263794,11.0,731.0,66.44,
79.6080801486969,6.0,731.0,65.15,
79.80014252662659,6.0,731.0,64.86,
79.98958897590637,6.0,731.0,64.76,
80.86101841926575,17.0,731.0,64.47,13.0
81.75980854034424,25.0,731.0,64.56,13.0
82.6237473487854,11.0,731.0,65.56,13.0
83.55979943275452,24.0,731.0,64.57,
83.75608134269714,7.0,731.0,64.57,
83.95064425468445,7.0,731.0,64.96,
84.14679980278015,7.0,731.0,64.86,
85.01761627197266,27.0,731.0,64.86,14.0
85.8761260509491,17.0,731.0,64.66,14.0
86.76122236251831,26.0,731.0,64.76,14.0
87.67722082138062,13.0,731.0,64.76,
87.86758995056152,6.0,731.0,65.06,
88.06648206710815,6.0,731.0,65.06,
88.27130317687988,6.0,731.0,64.86,
89.24277257919312,10.0,731.0,64.67,15.0
90.1340126991272,22.0,731.0,64.96,15.0
91.0144636631012,27.0,731.0,64.76,15.0
91.96104526519775,22.0,731.0,65.06,
92.17749762535095,6.0,731.0,64.76,
92.3906135559082,5.0,731.0,64.95,
92.60289978981018,5.0,731.0,64.86,
93.52101230621338,18.0,731.0,64.86,16.0
94.37864470481873,26.0,731.0,65.25,16.0
95.27164936065674,10.0,731.0,65.56,16.0
96.1694233417511,22.0,731.0,65.25,
96.37026643753052,6.0,731.0,65.05,
96.57420086860657,6.0,731.0,65.34,
96.77573466300964,6.0,731.0,65.15,
97.66329979896545,27.0,731.0,65.05,17.0
98.55480551719666,19.0,731.0,64.95,17.0
99.40841603279114,27.0,731.0,65.25,17.0
100.34301614761353,15.0,731.0,65.06,
100.5439624786377,6.0,731.0,65.05,
100.74343013763428,6.0,731.0,65.06,
100.95103621482849,6.0,731.0,65.05,
101.92895984649658,14.0,731.0,65.15,18.0
102.8295156955719,28.0,731.0,65.06,18.0
103.76108646392822,17.0,731.0,65.15,18.0
104.68550634384155,26.0,731.0,65.25,
104.89476370811462,6.0,731.0,65.35,
105.11732196807861,6.0,731.0,65.54,
105.32547950744629,6.0,731.0,65.35,
106.22201633453369,25.0,731.0,65.65,19.0
107.07053065299988,28.0,731.0,65.25,19.0
107.9825348854065,17.0,731.0,65.34,19.0
108.89403319358826,26.0,731.0,65.34,
109.10184001922607,6.0,731.0,65.05,
109.30876779556274,6.0,731.0,65.34,
109.52052450180054,6.0,731.0,65.44,
110.40928959846497,21.0,731.0,65.44,20.0
111.31130075454712,27.0,731.0,65.34,20.0
112.17931413650513,16.0,731.0,65.24,20.0
113.05808901786804,25.0,731.0,66.24,
