timestamp,epoch,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
2.1546874046325684,0,9.0,591.0,66.84
4.255970478057861,0,6.0,591.0,66.42
6.27388072013855,0,6.0,591.0,66.82
8.28689980506897,0,6.0,591.0,67.12
8.440733671188354,0,6.0,591.0,66.33
12.02489709854126,1,9.0,591.0,66.52
13.991090059280396,1,9.0,591.0,66.23
15.979915857315063,1,9.0,591.0,66.13
17.977266311645508,1,8.0,591.0,66.23
18.119988679885864,1,1.0,591.0,66.23
21.356345653533936,2,7.0,591.0,68.1
23.39109778404236,2,8.0,591.0,67.12
25.37614130973816,2,7.0,591.0,68.39
27.40453338623047,2,7.0,591.0,67.12
27.544482707977295,2,7.0,591.0,66.33
30.904832124710083,3,9.0,591.0,68.6
32.79563093185425,3,6.0,591.0,67.12
34.784854888916016,3,5.0,591.0,66.83
36.76070952415466,3,10.0,591.0,65.94
36.92092776298523,3,4.0,591.0,66.23
39.96194362640381,4,10.0,591.0,66.42
41.94895029067993,4,9.0,591.0,67.41
43.880242586135864,4,8.0,591.0,66.73
45.80386805534363,4,10.0,591.0,65.83
45.93829607963562,4,4.0,591.0,66.05
48.95500946044922,5,10.0,591.0,66.73
50.98816657066345,5,9.0,591.0,67.99
52.93449687957764,5,9.0,591.0,65.83
54.977365493774414,5,9.0,591.0,66.03
55.13062238693237,5,1.0,591.0,66.23
58.24791741371155,6,10.0,591.0,65.94
60.14226984977722,6,7.0,591.0,66.23
62.15424704551697,6,7.0,591.0,66.52
64.12786483764648,6,6.0,591.0,65.94
64.2783203125,6,6.0,591.0,65.94
67.39549040794373,7,8.0,591.0,66.13
69.4262125492096,7,9.0,591.0,66.13
71.42775774002075,7,9.0,591.0,66.03
73.39424920082092,7,7.0,591.0,67.12
73.5354597568512,7,7.0,591.0,66.14
76.73221063613892,8,10.0,591.0,66.52
78.71311902999878,8,9.0,591.0,66.81
80.70374393463135,8,10.0,591.0,66.52
82.67947936058044,8,9.0,591.0,66.03
82.81442022323608,8,1.0,591.0,66.33
86.11988019943237,9,9.0,591.0,66.33
88.10982656478882,9,9.0,591.0,66.23
90.12166476249695,9,9.0,591.0,66.54
92.1022641658783,9,8.0,591.0,66.52
92.23743152618408,9,1.0,591.0,66.42
95.34871697425842,10,10.0,591.0,66.82
97.38988661766052,10,9.0,591.0,66.92
99.38718509674072,10,9.0,591.0,66.13
101.39792203903198,10,9.0,591.0,66.13
101.54160237312317,10,2.0,591.0,66.23
104.62565493583679,11,10.0,591.0,66.33
106.61048078536987,11,9.0,591.0,65.83
108.61989092826843,11,9.0,591.0,65.94
110.52297830581665,11,5.0,591.0,66.03
110.66030669212341,11,5.0,591.0,66.14
113.74462866783142,12,5.0,591.0,66.05
115.6775107383728,12,10.0,591.0,66.33
117.6717574596405,12,9.0,591.0,65.94
119.71458983421326,12,9.0,591.0,67.31
119.85671734809875,12,3.0,591.0,66.03
122.99969029426575,13,6.0,591.0,66.13
125.01541757583618,13,6.0,591.0,66.33
127.02121376991272,13,6.0,591.0,66.33
128.99795150756836,13,4.0,591.0,66.13
129.14537239074707,13,4.0,591.0,66.33
132.2397072315216,14,6.0,591.0,66.33
134.21820735931396,14,4.0,591.0,66.13
136.20613074302673,14,9.0,591.0,66.33
138.21625232696533,14,9.0,591.0,66.33
138.3552598953247,14,4.0,591.0,66.33
141.54147386550903,15,9.0,591.0,66.42
143.52343320846558,15,7.0,591.0,67.21
145.53832054138184,15,7.0,591.0,67.68
147.48512268066406,15,10.0,591.0,66.52
147.6199653148651,15,5.0,591.0,66.42
150.5749111175537,16,9.0,591.0,66.72
152.57640051841736,16,8.0,591.0,68.6
154.50095677375793,16,10.0,591.0,67.02
156.50817012786865,16,9.0,591.0,66.83
156.64178037643433,16,4.0,591.0,66.33
159.935613155365,17,4.0,591.0,66.42
161.84418416023254,17,9.0,591.0,66.83
163.78603649139404,17,6.0,591.0,66.54
165.79297590255737,17,5.0,591.0,66.63
165.9372787475586,17,5.0,591.0,67.12
169.04970860481262,18,8.0,591.0,67.51
170.9672224521637,18,10.0,591.0,69.37
172.97040009498596,18,9.0,591.0,67.99
174.93284940719604,18,9.0,591.0,66.24
175.06282782554626,18,1.0,591.0,66.33
178.10759902000427,19,9.0,591.0,68.77
180.11424565315247,19,8.0,591.0,66.23
182.04051446914673,19,10.0,591.0,67.02
