backend,model,complexity,precision,seed,epochs,first_epoch_time,median_epoch_time
torch-keras,mlp,complex,fp32,42,100,9.4971,8.1024
torch-keras,mlp,complex,fp16,42,100,9.2841,8.3389
torch-keras,mlp,complex,bf16,42,100,8.673,8.6124
torch-keras,mlp,complex,mixed_fp16,42,100,12.728,10.982
torch-keras,mlp,complex,mixed_bf16,42,100,10.1451,9.0509
torch-keras,cnn,complex,fp32,42,100,43.4557,38.2682
torch-keras,cnn,complex,fp16,42,100,45.103,43.3399
torch-keras,cnn,complex,bf16,42,100,45.5526,43.805
torch-keras,cnn,complex,mixed_fp16,42,100,48.0506,46.3338
torch-keras,cnn,complex,mixed_bf16,42,100,43.0452,41.5573
torch-keras,lstm,complex,fp32,42,100,64.0321,60.0439
torch-keras,lstm,complex,mixed_fp16,42,100,74.9524,72.9545
torch-keras,lstm,complex,mixed_bf16,42,100,75.8447,72.512
jax,mlp,simple,fp32,43,100,18.89,2.1312
jax,mlp,simple,fp16,43,100,5.6721,2.2356
jax,mlp,simple,bf16,43,100,5.5914,2.1623
jax,mlp,simple,mixed_fp16,43,100,6.2832,2.7747
jax,mlp,simple,mixed_bf16,43,100,6.3606,2.7554
jax,cnn,simple,fp32,43,100,6.3869,2.7088
jax,cnn,simple,fp16,43,100,6.3191,2.7575
jax,cnn,simple,bf16,43,100,6.3563,2.4497
jax,cnn,simple,mixed_fp16,43,100,7.3215,3.3531
jax,cnn,simple,mixed_bf16,43,100,7.3343,3.1405
jax,lstm,simple,fp32,43,100,8.983,3.7894
jax,lstm,simple,mixed_fp16,43,100,10.339,3.3707
jax,lstm,simple,mixed_bf16,43,100,10.5583,3.6147
torch,mlp,simple,fp32,43,100,1.9136,1.4923
torch,mlp,simple,fp16,43,100,2.0865,1.5237
torch,mlp,simple,bf16,43,100,1.9603,1.6442
torch,mlp,simple,mixed_fp16,43,100,2.4186,1.9449
torch,mlp,simple,mixed_bf16,43,100,2.4184,1.8359
torch,cnn,simple,fp32,43,100,2.7855,2.2438
torch,cnn,simple,fp16,43,100,3.5873,2.4442
torch,cnn,simple,bf16,43,100,2.6857,2.2841
torch,cnn,simple,mixed_fp16,43,100,3.7799,3.1404
torch,cnn,simple,mixed_bf16,43,100,3.7828,2.7525
torch,lstm,simple,fp32,43,100,0.9777,0.6842
torch,lstm,simple,fp16,43,100,0.9585,0.7029
torch,lstm,simple,bf16,43,100,11.4818,10.4454
torch,lstm,simple,mixed_fp16,43,100,1.2932,0.8344
torch,lstm,simple,mixed_bf16,43,100,1.2195,0.8827
jax-keras,mlp,simple,fp32,43,100,5.5468,1.4738
jax-keras,mlp,simple,fp16,43,100,5.6931,1.1878
jax-keras,mlp,simple,bf16,43,100,5.4442,1.2244
jax-keras,mlp,simple,mixed_fp16,43,100,5.8456,1.4306
jax-keras,mlp,simple,mixed_bf16,43,100,5.4751,1.285
jax-keras,cnn,simple,fp32,43,100,7.0991,1.8305
jax-keras,cnn,simple,fp16,43,100,6.5592,1.923
jax-keras,cnn,simple,bf16,43,100,6.5794,2.1536
jax-keras,cnn,simple,mixed_fp16,43,100,7.3339,2.4887
jax-keras,cnn,simple,mixed_bf16,43,100,6.6136,1.7561
jax-keras,lstm,simple,fp32,43,100,8.1333,3.1119
jax-keras,lstm,simple,mixed_fp16,43,100,8.9637,2.7899
jax-keras,lstm,simple,mixed_bf16,43,100,8.8517,3.1461
tf-keras,mlp,simple,fp32,43,100,5.5468,1.309
tf-keras,mlp,simple,fp16,43,100,5.7888,1.2559
tf-keras,mlp,simple,bf16,43,100,5.736,1.166
tf-keras,mlp,simple,mixed_fp16,43,100,6.3986,1.1942
tf-keras,mlp,simple,mixed_bf16,43,100,5.9755,1.1852
tf-keras,cnn,simple,fp32,43,100,6.8606,1.531
tf-keras,cnn,simple,fp16,43,100,6.4623,1.5625
tf-keras,cnn,simple,bf16,43,100,6.1426,1.2518
tf-keras,cnn,simple,mixed_fp16,43,100,7.1741,1.3236
tf-keras,cnn,simple,mixed_bf16,43,100,6.7873,1.2827
tf-keras,lstm,simple,fp32,43,100,5.131,1.7188
tf-keras,lstm,simple,fp16,43,100,5.4512,1.7251
tf-keras,lstm,simple,mixed_fp16,43,100,5.6846,1.8631
tf-keras,lstm,simple,mixed_bf16,43,100,5.2192,1.9106
torch-keras,mlp,simple,fp32,43,100,5.5547,4.5829
torch-keras,mlp,simple,fp16,43,100,5.4575,4.8827
torch-keras,mlp,simple,bf16,43,100,5.6837,4.8624
torch-keras,mlp,simple,mixed_fp16,43,100,7.0207,6.0809
torch-keras,mlp,simple,mixed_bf16,43,100,6.043,5.0016
torch-keras,cnn,simple,fp32,43,100,6.9726,5.9391
torch-keras,cnn,simple,fp16,43,100,7.1949,6.385
torch-keras,cnn,simple,bf16,43,100,7.0763,6.3953
torch-keras,cnn,simple,mixed_fp16,43,100,8.4522,7.7485
torch-keras,cnn,simple,mixed_bf16,43,100,7.7593,7.0472
torch-keras,lstm,simple,fp32,43,100,40.0697,39.8063
torch-keras,lstm,simple,mixed_fp16,43,100,49.1613,47.332
torch-keras,lstm,simple,mixed_bf16,43,100,48.0141,47.061
torch-keras,lstm,complex,fp32,43,100,61.7834,59.5599
torch-keras,lstm,complex,mixed_fp16,43,100,76.2356,72.0528
torch-keras,lstm,complex,mixed_bf16,43,100,74.7434,72.5974
torch-keras,mlp,complex,fp32,43,100,9.1336,8.2627
torch-keras,mlp,complex,fp16,43,100,9.2808,8.4957
torch-keras,mlp,complex,bf16,43,100,9.4838,8.1079
torch-keras,mlp,complex,mixed_fp16,43,100,13.0214,11.229
torch-keras,mlp,complex,mixed_bf16,43,100,10.4464,9.0421
