timestamp,epoch,gpu_2_utilization,gpu_2_memory_used,gpu_2_power
20.913740873336792,0,11.0,635.0,67.13
40.92304277420044,0,26.0,635.0,66.94
60.26264691352844,0,20.0,635.0,66.64
82.34952664375305,0,12.0,635.0,66.05
113.4418272972107,1,23.0,635.0,66.55
133.833242893219,1,21.0,635.0,65.95
154.1758315563202,1,25.0,635.0,66.65
174.25522208213806,1,12.0,635.0,67.03
205.34789443016052,2,24.0,635.0,65.95
225.57567739486694,2,16.0,635.0,67.33
246.0031008720398,2,20.0,635.0,67.03
266.1900987625122,2,10.0,635.0,66.44
297.09669494628906,3,20.0,635.0,66.94
317.422771692276,3,25.0,635.0,67.03
337.6668038368225,3,20.0,635.0,67.13
357.7924590110779,3,11.0,635.0,66.84
388.7383162975311,4,26.0,635.0,66.55
409.0114142894745,4,25.0,635.0,66.64
429.2207853794098,4,16.0,635.0,66.74
449.1314733028412,4,9.0,635.0,68.5
480.1064910888672,5,25.0,635.0,65.95
500.24039483070374,5,22.0,635.0,66.34
520.3911545276642,5,14.0,635.0,66.24
540.4076640605927,5,12.0,635.0,66.44
571.2283420562744,6,18.0,635.0,66.84
591.3185956478119,6,18.0,635.0,66.44
611.35866355896,6,12.0,635.0,66.74
631.3687493801117,6,12.0,635.0,66.64
662.1261377334595,7,22.0,635.0,66.55
682.2555351257324,7,12.0,635.0,66.74
702.4045722484589,7,21.0,635.0,66.84
722.20778465271,7,12.0,635.0,66.44
752.5971329212189,8,22.0,635.0,66.14
772.0874991416931,8,24.0,635.0,66.74
792.2904016971588,8,11.0,635.0,66.55
811.691579580307,8,12.0,635.0,66.64
841.9500262737274,9,23.0,635.0,66.34
861.5167365074158,9,22.0,635.0,65.74
881.7764482498169,9,25.0,635.0,67.91
901.1878883838654,9,9.0,635.0,66.64
932.2475619316101,10,11.0,635.0,65.85
951.8609580993652,10,25.0,635.0,66.24
972.2197079658508,10,12.0,635.0,66.74
991.6397988796234,10,12.0,635.0,66.64
1022.6360483169556,11,13.0,635.0,66.55
1042.8259291648865,11,26.0,635.0,66.94
1063.0987849235535,11,25.0,635.0,66.64
1083.1708130836487,11,11.0,635.0,65.96
1113.4202189445496,12,15.0,635.0,66.74
1133.8272590637207,12,25.0,635.0,66.44
1153.3720438480377,12,12.0,635.0,66.55
1173.555279970169,12,11.0,635.0,66.34
1203.8347964286804,13,20.0,635.0,66.55
1224.1727678775787,13,24.0,635.0,67.62
1243.809404373169,13,20.0,635.0,66.84
1263.9819839000702,13,12.0,635.0,66.44
1294.330137014389,14,21.0,635.0,66.74
1314.611573457718,14,22.0,635.0,66.84
1334.2225744724274,14,25.0,635.0,66.14
1353.6574807167053,14,8.0,635.0,66.05
1383.9298655986786,15,12.0,635.0,67.23
1404.137012720108,15,25.0,635.0,66.74
1424.1677446365356,15,21.0,635.0,66.64
1443.526533126831,15,12.0,635.0,66.24
1473.5804615020752,16,25.0,635.0,65.84
1493.715782403946,16,24.0,635.0,66.34
1513.2419583797455,16,19.0,635.0,67.13
1533.152783870697,16,7.0,635.0,66.05
1563.4008593559265,17,22.0,635.0,66.34
1583.4114549160004,17,23.0,635.0,66.24
1603.4759793281555,17,20.0,635.0,65.65
1622.6541993618011,17,12.0,635.0,67.62
1652.5855889320374,18,21.0,635.0,66.84
1671.9610786437988,18,23.0,635.0,66.84
1691.2888798713684,18,26.0,635.0,65.95
1710.5162994861603,18,9.0,635.0,66.14
1740.4751982688904,19,25.0,635.0,65.74
1759.9218213558197,19,22.0,635.0,67.13
1779.318645477295,19,20.0,635.0,66.44
1799.2498321533203,19,7.0,635.0,65.65
1829.9748237133026,20,16.0,635.0,65.95
1849.2961568832397,20,22.0,635.0,66.34
1868.65256524086,20,24.0,635.0,65.65
1888.4636769294739,20,9.0,635.0,66.54
1919.0304265022278,21,25.0,635.0,66.54
1938.3624355793,21,22.0,635.0,65.85
1957.7041845321655,21,16.0,635.0,65.95
1977.5262591838837,21,12.0,635.0,66.05
2007.9790647029877,22,24.0,635.0,66.54
2027.3560156822205,22,19.0,635.0,66.84
2046.9496541023254,22,25.0,635.0,66.94
2066.7499856948853,22,6.0,635.0,66.74
2096.602394580841,23,23.0,635.0,66.05
2116.6731979846954,23,25.0,635.0,66.44
2136.0399289131165,23,17.0,635.0,66.44
2155.8401412963867,23,12.0,635.0,66.44
2186.358479976654,24,23.0,635.0,66.84
2205.711238384247,24,16.0,635.0,66.74
2225.108498811722,24,24.0,635.0,67.52
2244.983160018921,24,12.0,635.0,66.24
2275.515736579895,25,24.0,635.0,66.84
2294.842961549759,25,20.0,635.0,66.64
2314.251838684082,25,26.0,635.0,66.73
2334.0677177906036,25,8.0,635.0,66.74
2364.688498020172,26,24.0,635.0,66.74
2384.0773475170135,26,20.0,635.0,67.13
2403.6273868083954,26,26.0,635.0,66.14
2422.7730786800385,26,12.0,635.0,67.42
2452.5554296970367,27,19.0,635.0,66.94
2472.605067253113,27,13.0,635.0,66.34
2492.5605125427246,27,23.0,635.0,66.54
2511.7224917411804,27,12.0,635.0,66.84
2541.503182888031,28,16.0,635.0,66.14
2561.596433877945,28,15.0,635.0,66.44
2581.627276659012,28,21.0,635.0,66.94
2601.437335729599,28,11.0,635.0,66.44
2631.4524579048157,29,19.0,635.0,67.33
2651.0732049942017,29,25.0,635.0,66.74
2671.1731355190277,29,24.0,635.0,66.24
2690.3436827659607,29,7.0,635.0,66.44
2720.8591964244843,30,15.0,635.0,66.44
2740.8636531829834,30,24.0,635.0,66.24
2760.154700279236,30,23.0,635.0,65.84
2779.349995613098,30,9.0,635.0,65.85
2809.1078712940216,31,26.0,635.0,66.54
2828.4635846614838,31,11.0,635.0,66.34
2848.486951828003,31,25.0,635.0,67.33
2868.2730135917664,31,8.0,635.0,67.13
2898.170594215393,32,16.0,635.0,66.94
2917.685550928116,32,21.0,635.0,66.84
2937.777799129486,32,20.0,635.0,66.63
2956.976289987564,32,12.0,635.0,66.24
2987.6117374897003,33,24.0,635.0,66.74
3006.9218621253967,33,26.0,635.0,66.34
3026.9949457645416,33,25.0,635.0,65.85
3046.203864336014,33,7.0,635.0,66.64
3076.7278196811676,34,17.0,635.0,66.24
3096.184466600418,34,14.0,635.0,66.14
3116.1671903133392,34,25.0,635.0,66.44
3135.994624853134,34,8.0,635.0,66.24
3166.12540602684,35,21.0,635.0,66.14
3185.706740140915,35,22.0,635.0,66.84
3205.8055970668793,35,22.0,635.0,66.34
3225.415235042572,35,11.0,635.0,66.44
3255.9438967704773,36,24.0,635.0,66.84
3275.8986871242523,36,22.0,635.0,65.74
3295.8812119960785,36,20.0,635.0,66.24
3315.54878115654,36,8.0,635.0,66.05
3345.62704372406,37,13.0,635.0,66.94
3365.0228748321533,37,26.0,635.0,66.44
3385.0922775268555,37,24.0,635.0,66.24
3404.6764464378357,37,5.0,635.0,66.24
3435.2506215572357,38,19.0,635.0,66.45
3454.5872795581818,38,26.0,635.0,66.74
3473.9695303440094,38,15.0,635.0,66.94
3493.827903985977,38,5.0,635.0,66.44
3524.437516450882,39,24.0,635.0,66.64
3543.708226442337,39,24.0,635.0,66.14
3563.0987219810486,39,19.0,635.0,66.24
3582.9134447574615,39,12.0,635.0,66.74
3613.435177087784,40,25.0,635.0,66.44
3632.7476241588593,40,22.0,635.0,66.54
3652.8531460762024,40,21.0,635.0,66.64
3672.611535549164,40,8.0,635.0,66.64
3702.6301856040955,41,23.0,635.0,67.23
3722.728264808655,41,22.0,635.0,66.84
3742.1373748779297,41,25.0,635.0,66.24
3761.296784877777,41,12.0,635.0,66.74
3791.998724460602,42,24.0,635.0,66.84
3812.082919359207,42,23.0,635.0,66.15
3831.387393474579,42,21.0,635.0,66.84
3850.539960384369,42,8.0,635.0,66.55
3881.2013721466064,43,21.0,635.0,66.63
3901.2442038059235,43,25.0,635.0,66.44
3920.5448291301727,43,23.0,635.0,66.14
3939.784959077835,43,12.0,635.0,66.45
3969.6542041301727,44,21.0,635.0,66.34
3989.7693421840668,44,24.0,635.0,66.74
4009.748127937317,44,20.0,635.0,66.34
4028.839428424835,44,12.0,635.0,66.44
4058.7461819648743,45,20.0,635.0,66.84
4078.7864258289337,45,24.0,635.0,66.34
4098.793329238892,45,20.0,635.0,66.24
4118.447138309479,45,7.0,635.0,66.94
4148.630719423294,46,26.0,635.0,66.44
4168.68706035614,46,23.0,635.0,66.34
4188.185928106308,46,25.0,635.0,66.74
4208.029804229736,46,9.0,635.0,66.05
4238.179166555405,47,25.0,635.0,66.44
4258.232939243317,47,22.0,635.0,66.64
4278.1038019657135,47,19.0,635.0,66.44
4297.507042169571,47,12.0,635.0,65.84
4328.165794372559,48,25.0,635.0,66.74
4348.026338338852,48,24.0,635.0,66.14
4367.558353900909,48,24.0,635.0,66.74
4386.829608917236,48,12.0,635.0,66.64
4417.538090467453,49,26.0,635.0,66.14
4437.046544075012,49,21.0,635.0,66.64
4456.344638586044,49,22.0,635.0,67.03
4476.169860124588,49,11.0,635.0,66.24
4506.8903341293335,50,24.0,635.0,65.76
4526.294307470322,50,16.0,635.0,66.14
4545.675621032715,50,26.0,635.0,66.24
4565.540906190872,50,11.0,635.0,67.03
4596.189943313599,51,15.0,635.0,66.74
4615.6210696697235,51,20.0,635.0,66.34
4635.740121603012,51,13.0,635.0,66.74
4655.521990060806,51,12.0,635.0,66.74
4685.6921582221985,52,22.0,635.0,66.14
4705.724292755127,52,25.0,635.0,66.54
4725.2212908267975,52,26.0,635.0,67.23
4745.1300365924835,52,12.0,635.0,66.24
4775.792755365372,53,24.0,635.0,66.54
4795.8631756305695,53,23.0,635.0,66.74
4815.162469625473,53,26.0,635.0,66.54
4834.359901666641,53,7.0,635.0,67.13
4864.991522312164,54,24.0,635.0,67.52
4884.979533910751,54,19.0,635.0,65.55
4904.875675916672,54,21.0,635.0,65.85
4924.076109409332,54,12.0,635.0,66.64
4953.863476753235,55,22.0,635.0,66.74
4974.03937625885,55,23.0,635.0,66.24
4993.967597484589,55,19.0,635.0,66.15
5013.258163690567,55,6.0,635.0,65.65
5043.848762750626,56,22.0,635.0,66.84
5063.3615934848785,56,26.0,635.0,65.95
5082.6655189991,56,26.0,635.0,65.74
5102.5857882499695,56,12.0,635.0,66.05
5133.200139760971,57,19.0,635.0,66.34
5152.650332927704,57,16.0,635.0,65.74
5172.777859210968,57,20.0,635.0,66.24
5192.02796959877,57,7.0,635.0,65.85
5222.737942457199,58,14.0,635.0,65.74
5242.194352149963,58,19.0,635.0,66.14
5262.3267369270325,58,16.0,635.0,65.85
5281.60542678833,58,7.0,635.0,65.65
